Número Activo|Revisado|Fecha revisión título|Título de la propiedad|Subtipo de título|Ratificación|Título de la propiedad entrada|Subtipo de título entrada|Instancia de libertad arrendataria|Situación inicial de inscripción|Situación posesoria inicial|Situación inicial cargas|Situación constructiva registral|Porcentaje de propiedad|Tipo de titularidad|Protección oficial|Autorización para la transmisión|Anotación Concurso|Estado de la gestión|En construcción física|Porcentaje construcción según tasación|En construcción jurídica|Porcentaje construcción según tasación|Certificado de fin de obra|Acta fin de obra/Obra nueva terminada|Licencia primera ocupación|Boletines|Seguro decenal|Cédula de habitabilidad|Fecha contrato|Legislación aplicable|Duración contrato|Tipo arrendamiento|Notificación a arrendatarios|Tipo de expediente |Estado de la gestión|Tipo de incidencia (contingencia registral)|Estado de la gestión|Tipo de ocupación|Tipo de incidencia (Ilocalizadas)|Estado de la gestión|Detalle del deterioro|Tipo de incidencia (Otros)|Estado de la gestión
5929817|SI|02/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
5930149|SI|31/03/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
5930153|SI|02/04/2020|01|01|NA|||NO|PDTE|OBT||02|100|PLD|01||||||01||||||||||||||||||||||
5932370|SI|03/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
5933058|SI|03/04/2020|01|01|NA|||SI|INS||AFF|01|100|PLD|03||||||||||||||||||||||||||||
5937265|SI|06/04/2020|01|01|NA|||SI|INS|OBT|AJE|01|100|PLD|||||02|||||||||||||||||3|||||||
5937411|SI|06/04/2020|01|01|NA|||SI|PDTE|PDTE|PUR|01|100|PLD|||||02||02|||||||||||||||2|||||||
5937438|SI|06/04/2020|01|01|NA|||NO|PDTE|PRE|PUR|01|100|PLD|03||||02||02||||||||||||||||||||||
5937632|SI|01/04/2020|01|01|NA|||NO|PDTE|OBT|PUR||100|PLD|01||||||||||||||||||||||||||||
5937899|SI|07/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|02||||02||02|||||||||||||||2|||||||
5937923|SI|07/04/2020|01|01|NA|||SI|PDTE|PDTE|PUR|01|100|PLD|01||||02||02|||||||||||||||2|||||||
5940049|SI|07/04/2020|01|01|NA|||SI|PDTE|PDTE|PUR|01|100|PLD|01||||02||02|||||||||||||||2|||||||
5940706|SI|07/04/2020|01|01|NA|||SI|PDTE|PDTE|PUR|01|100|PLD|03||||02||02|||||||||||||||2|||||||
5942974|SI|07/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
5944601|SI|07/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
5945241|SI|07/04/2020|01|01|NA|||SI|PDTE|OBT|PUR|01|100|PLD|03||||02||02|||||||||||||||5|||||||
5947569|SI|02/04/2020|01|01|NA|||NO|PDTE|PDTE||01|100|PLD|01||||02||02||||||||||||||||||||||
5947637|SI|07/04/2020|01|01|NA||||PDTE||PUR|01|100|PLD|03||||02||02||||||||||||||||||||||
5948457|SI|14/04/2020|01|01|NA|||SI|PDTE|PDTE|PUR|01|100|PLD|03||||02||02||||||||||||||||||||||
5948458|SI|14/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
5948941|SI|13/04/2020|01|01|NA|||SI|PDTE|OBT|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
5949870|SI|02/04/2020|01|01|NA|||NO|PDTE|OBT||02|100|PLD|01||||||01||||||||||||||||||||||
5949953|SI|08/04/2020|01|01|NA|||SI|PDTE|OBT|PUR||100|PLD|01||||02||02|||||||||||||||5|||||||
5950035|SI|02/04/2020|01|01|NA|||NO|PDTE|OBT||02|100|PLD|01||||||01||||||||||||||||||||||
5950662|SI|14/04/2020|02|03|NA|||NA|INS|COM|AFF|01|100|PLD|||||02||02||||||||||||||||||||||
5951384|SI|02/04/2020|01|01|NA|||NO|PDTE|OBT||02|100|PLD|01||||||01||||||||||||||||||||||
5951441|SI|14/04/2020|01|01|NA|||NO|PDTE|OBT|PUR|01|100|PLD|||||02||02||||||||||||||||||||||
5951629|SI|14/04/2020|01|01|NA|||SI|PDTE|PDTE|PUR|01|100|PLD|||||02||02||||||||||||||||||||||
5953981|SI|14/04/2020|01|01|NA||||PDTE|||01|100|PLD|01||||02||||||||||||||||||||||||
5954443|SI|14/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
5955494|SI|14/04/2020|01|01|NA|||SI|INS|PDTE|AFF|01|100|PLD|03||||02||02||||||||||||||||||||||
5955570|SI|14/04/2020|01|01|NA|||SI|PDTE|PDTE|PUR|01|100|PLD|01||VIG|TRA|02||02||||||||||||||||||||||
5956397|SI|14/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|02||||02||02||||||||||||||||||||||
5957497|SI|14/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
5958214|SI|14/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|03||||02||02||||||||||||||||||||||
5958226|SI|14/04/2020|01|01|NA|||NO|PDTE|OBT|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
5959430|SI|14/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|03||||02||02||||||||||||||||||||||
5960086|SI|14/04/2020|01|01|NA|||NO|PDTE|OBT|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
5960587|SI|14/04/2020|01|01|NA|||NO|PDTE|OBT|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
5960630|SI|14/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|03||||02||02||||||||||||||||||||||
5962883|SI|14/04/2020|01|01|NA|||SI|PDTE|PDTE|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
5963480|SI|14/04/2020|01|01|NO|||SI|PDTE|OBT|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
5963720|SI|14/04/2020|01|01|NO|||NO|PDTE|PDTE|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
5964029|SI|14/02/2020|01|01|NA|||SI|PDTE|PDTE|PUR||100|PLD|01||||02||02||||||||||||||||||||||
5964061|SI|14/02/2020|01|01|NA|||SI|PDTE|PDTE|PUR||100|PLD|01||||02||02||||||||||||||||||||||
5964065|SI|24/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
5964789|SI|24/04/2020|01|01|NA|||SI|PDTE|PDTE|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
5965120|SI|24/04/2020|01|01|NA|||SI|INS|PDTE|AFF|01|100|PLD|01||||02||02||||||||||||||||||||||
5966284|SI|24/04/2020|01|01|NA|||SI|INS||AFF||100|PLD|01||||||||||||||||||||||||||||
5966906|SI|24/04/2020|01|01|NA|||SI|PDTE||AFF|01|100|PLD|01||||02||02||||||||||||||||||||||
5968208|SI|02/04/2020|01|01|NA|||NO|PDTE|PDTE||01|100|PLD|01||||02||||||||||||||||||||||||
5968941|SI|27/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
5968980|SI|27/04/2020|01|01|NA|||NO|PDTE|PDTE|AJE|01|100|PLD|01||||02||02||||||||||||||||||||||
5969955|SI|27/04/2020|01|01|NA|||NO|PDTE|ARR|PUR|01|100|PLD|01||||02||02||||||||01/12/2015||1+ 3 años mas prorrogas anuales|VIV||||1|||||||
5971466|SI|27/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
6044562|SI|27/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
6044694|SI|27/04/2020|01|01|NA|||SI|INS|PDTE|AFF||100|PLD|||||||||||||||||||||||||||||
6045708|SI|27/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|||||02||02||||||||||||||||||||||
6045738|SI|27/04/2020|01|01|NA|||SI|PDTE|PDTE|PUR|02|100|PLD|||||02||01||||||||||||||||||||||
6045968|SI|29/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|||||02||02||||||||||||||||||||||
6046178|SI|29/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|||||02||02||||||||||||||||||||||
6047301|SI|29/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|||||02||02||||||||||||||||||||||
6047424|SI|29/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|||||02||02||||||||||||||||||||||
6048350|SI|29/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR||100|PLD||||||||||||||||||||||9|||||||
6048351|SI|29/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR||100|PLD||||||||||||||||||||||9|||||||
6048352|SI|30/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR||100|PLD||||||||||||||||||||||9|||||||
6048353|SI|30/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR||100|PLD||||||||||||||||||||||9|||||||
6048420|SI|30/04/2020|01|01|NA|||SI|PDTE|PDTE|PUR|01|100|PLD|||||02||02||||||||||||||||||||||
6049036|SI|30/04/2020|01|01|NA|||NO|PDTE|OBT|PUR|01|100|PLD|||||02||02||||||||||||||||||||||
6049391|SI|30/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|||||02||02|||||||||||||||1|||||||
6049496|SI|30/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|||||02||02||||||||||||||||||||||
6050500|SI|12/05/2020|01|01|NA|||SI|PDTE|PDTE|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
6050611|SI|12/05/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|03||||02||02||||||||||||||||||||||
6051610|SI|12/05/2020|01|01|NA|||SI|PDTE|PDTE|ANT|01|100|PLD|01||||02||02||||||||||||||||||||||
6052039|SI|12/05/2020|01|01|NA|||SI|INS|OBT|AJE|01|100|PLD|01||||02||02|||||||||||||||2|||||||
6058171|SI|13/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR|02|100|PLD|01||||02||01||||||||||||||||||||||
6058252|SI|13/04/2020|02|03|NA|||NA|PDTE|COM|PRP||||||VIG|TRA|||||||||||||||||||||||||
6058253|SI|13/04/2020|02|03|NA|||NA|PDTE|COM|AJE||||||VIG|TRA|||||||||||||||||||||||||
6058254|SI|13/04/2020|02|03|NA|||NA|PDTE|COM|AJE||||||VIG|TRA|||||||||||||||||||||||||
6058255|SI|13/04/2020|02|03|NA|||NA|PDTE|COM|AJE||||||VIG|TRA|||||||||||||||||||||||||
6058256|SI|13/04/2020|02|03|NA|||NA|PDTE|COM|AJE||||||VIG|TRA|||||||||||||||||||||||||
6058680|SI|13/04/2020|01|01|NA|||SI|PDTE|PDTE|PUR|01|100|PLD|01||||02||||||||||||||||||||||||
6058743|SI|13/04/2020|01|01|NA|||SI|INS|OBT|AFF|01|100|PLD|01||||02||||||||||||||||||||||||
6063292|SI|13/04/2020|01|01|NA||||PDTE|OBT|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
5952970|SI|08/04/2020|01|01|NA|||SI|PDTE|OBT|PUR||100|PLD|01||||02|||||||||||||||||5|||||||
5933727|SI|08/04/2020|01|01|NA|||SI|PDTE|OBT|PUR||100|PLD|01||||02|||||||||||||||||5|||||||
6051131|SI|08/04/2020|01|01|NA|||SI|PDTE|OBT|PUR||100|PLD|01||||02|||||||||||||||||5|||||||
5947652|SI|08/04/2020|01|01|NA|||SI|PDTE|OBT|PUR||100|PLD|01||||02|||||||||||||||||5|||||||
6058681|SI|13/04/2020|01|01|NA|||SI|PDTE|PDTE|PUR|01|100|PLD|01||||02||||||||||||||||||||||||
5948379|SI|14/04/2020|01|01|NA|||SI|PDTE|PDTE|PUR|01|100|PLD|||||02||02||||||||||||||||||||||
5935624|SI|14/04/2020|01|01|NA|||SI|PDTE|PDTE|PUR|01|100|PLD|||||02||02||||||||||||||||||||||
