Número Activo|Revisado|Fecha revisión título|Título de la propiedad|Subtipo de título|Ratificación|Título de la propiedad entrada|Subtipo de título entrada|Instancia de libertad arrendataria|Situación inicial de inscripción|Situación posesoria inicial|Situación inicial cargas|Situación constructiva registral|Porcentaje de propiedad|Tipo de titularidad|Protección oficial|Autorización para la transmisión|Anotación Concurso|Estado de la gestión|En construcción física|Porcentaje construcción según tasación|En construcción jurídica|Porcentaje construcción según tasación|Certificado de fin de obra|Acta fin de obra/Obra nueva terminada|Licencia primera ocupación|Boletines|Seguro decenal|Cédula de habitabilidad|Fecha contrato|Legislación aplicable|Duración contrato|Tipo arrendamiento|Notificación a arrendatarios|Tipo de expediente |Estado de la gestión|Tipo de incidencia (contingencia registral)|Estado de la gestión|Tipo de ocupación|Tipo de incidencia (Ilocalizadas)|Estado de la gestión|Detalle del deterioro|Tipo de incidencia (Otros)|Estado de la gestión
6983761|SI|14/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6983779|SI|14/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6983781|SI|14/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6983913|SI|14/04/2020|02|04|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6983929|SI|17/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6984204|SI|14/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6984891|SI|14/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6984910|SI|14/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6984919|SI|14/04/2020|01|01|NA||||INS|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6984973|SI|14/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6984974|SI|14/04/2020|01|01|NA||||INS|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6985088|SI|14/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6985185|SI|14/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6985209|SI|21/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6985214|SI|23/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6985215|SI|23/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6985297|SI|23/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6985300|SI|23/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6985306|SI|23/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
