DD_LOC_ID|MUNICIPIO BBVA
4281|ALCOBENDAS
2847|ALCOCER
145|ALCOCER DE PLANES
1177|ALCOCERO DE MOLA
2222|ALCOHUJATE
286|ALCOLEA
1947|ALCOLEA DE CALATRAVA
3309|ALCOLEA DE CINCA
2848|ALCOLEA DE LAS PEÑAS
6768|ALCOLEA DE TAJO
2849|ALCOLEA DEL PINAR
6060|ALCOLEA DEL RIO
146|ALCOLEJA
3816|ALCOLETGE
1551|ALCOLLARIN
6163|ALCONABA
5340|ALCONADA
5850|ALCONADA DE MADERUELO
636|ALCONCHEL
7831|ALCONCHEL DE ARIZA
2223|ALCONCHEL DE LA ESTRELLA
637|ALCONERA
287|ALCONTAR
1809|ALCORA, L'
4282|ALCORCON
6539|ALCORISA
2850|ALCOROCHES
6347|ALCOVER
147|ALCOY/ALCOI
3310|ALCUBIERRE
6164|ALCUBILLA DE AVELLANEDA
6165|ALCUBILLA DE LAS PEÑAS
7571|ALCUBILLA DE NOGALES
1948|ALCUBILLAS
6983|ALCUBLAS
796|ALCUDIA
6984|ALCUDIA, L'
6985|ALCUDIA DE CRESPINS, L'
288|ALCUDIA DE MONTEAGUD
1810|ALCUDIA DE VEO
1552|ALCUESCAR
6986|ALDAIA
6348|ALDEA, L'
7237|ALDEA DE SAN MIGUEL
5235|ALDEA DE SAN NICOLAS, LA
1553|ALDEA DEL CANO
4283|ALDEA DEL FRESNO
5341|ALDEA DEL OBISPO
1554|ALDEA DEL OBISPO, LA
1949|ALDEA DEL REY
6769|ALDEA EN CABO
5851|ALDEA REAL
1555|ALDEACENTENERA
5342|ALDEACIPRESTE
5343|ALDEADAVILA DE LA RIBERA
6166|ALDEALAFUENTE
5852|ALDEALCORVO
5344|ALDEALENGUA
5853|ALDEALENGUA DE PEDRAZA
5854|ALDEALENGUA DE SANTA MARIA
6167|ALDEALICES
6168|ALDEALPOZO
6169|ALDEALSEÑOR
7238|ALDEAMAYOR DE SAN MARTIN
6770|ALDEANUEVA DE BARBARROYA
4042|ALDEANUEVA DE EBRO
5345|ALDEANUEVA DE FIGUEROA
2851|ALDEANUEVA DE GUADALAJARA
5855|ALDEANUEVA DE LA SERREZUELA
5346|ALDEANUEVA DE LA SIERRA
1556|ALDEANUEVA DE LA VERA
6771|ALDEANUEVA DE SAN BARTOLOME
385|ALDEANUEVA DE SANTA CRUZ
1557|ALDEANUEVA DEL CAMINO
5856|ALDEANUEVA DEL CODONAL
3499|ALDEAQUEMADA
5347|ALDEARRODRIGO
5348|ALDEARRUBIA
386|ALDEASECA
5349|ALDEASECA DE ALBA
5350|ALDEASECA DE LA FRONTERA
5857|ALDEASOÑA
5351|ALDEATEJADA
5352|ALDEAVIEJA DE TORMES
5858|ALDEHORNO
387|ALDEHUELA, LA
1558|ALDEHUELA DE JERTE
5353|ALDEHUELA DE LA BOVEDA
7832|ALDEHUELA DE LIESTOS
6170|ALDEHUELA DE PERIAÑEZ
5354|ALDEHUELA DE YELTES
5859|ALDEHUELA DEL CODONAL
6171|ALDEHUELAS, LAS
2678|ALDEIRE
5860|ALDEONTE
6349|ALDOVER
4561|ALEDO
3132|ALEGIA
1|ALEGRIA-DULANTZI
6350|ALEIXAR, L'
864|ALELLA
6172|ALENTISQUE
3311|ALERRE
4043|ALESANCO
4044|ALESON
2679|ALFACAR
6987|ALFAFAR
148|ALFAFARA
7833|ALFAJARIN
6540|ALFAMBRA
7834|ALFAMEN
3312|ALFANTEGA
6988|ALFARA DE ALGIMIA
6351|ALFARA DE CARLES
6989|ALFARA DEL PATRIARCA
7572|ALFARAZ DE SAYAGO
4457|ALFARNATE
4458|ALFARNATEJO
4045|ALFARO
6990|ALFARP
3817|ALFARRÀS
6991|ALFARRASI
149|ALFÀS DEL PI, L'
6992|ALFAUIR
3818|ALFES
1811|ALFONDEGUILLA
6352|ALFORJA
7835|ALFORQUE
4210|ALFOZ
1178|ALFOZ DE BRICIA
5744|ALFOZ DE LLOREDO
1179|ALFOZ DE QUINTANADUEÑAS
1180|ALFOZ DE SANTA GADEA
6061|ALGABA, LA
3594|ALGADEFE
797|ALGAIDA
6062|ALGAMITAS
