    ASU_ID;ASU_NOMBRE                                                                                                                                            ;ESTADO    ;CONTRATO                                          ;CONTRATO_ANTERIOR                                 ;SUBCARTERA                                        ;CARTERA                                                                                                                                                                                                                                                   ;CEDENTE                                                                                                                                                                                                                                                   ;DD_TAS_DESCRIPCION                                                                                                                                    ;    PRC_ID;DD_TPO_DESCRIPCION                                                                                                                                    ;FECHA_ENVIO                             ;FECHA_PRESENTACION                      ;FECHA_RESULTADO                         ;RESULTADO                               ;MOTIVO_REQUERIMIENTO                                                                                ;DENEGACION                              ;FECHA_SOLUCION                          ;NUM_AUTOS                                         ;PLAZA                                                                                                                                                 ;JUZGADO                                                                                                                                                                                                                                                                                                               
----------;------------------------------------------------------------------------------------------------------------------------------------------------------;----------;--------------------------------------------------;--------------------------------------------------;--------------------------------------------------;----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------;----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------;------------------------------------------------------------------------------------------------------------------------------------------------------;----------;------------------------------------------------------------------------------------------------------------------------------------------------------;----------------------------------------;----------------------------------------;----------------------------------------;----------------------------------------;----------------------------------------------------------------------------------------------------;----------------------------------------;----------------------------------------;--------------------------------------------------;------------------------------------------------------------------------------------------------------------------------------------------------------;----------------------------------------------------------------------------------------------------                                                                                                                                                                                                                  
         1;001 | B73250680 ACHALAY S.L.                                                                                                                          ;Aceptado  ;052020171000000000000531152000000000000000        ;B_01826768089500000046602400000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      1492;T. de sucesión procesal                                                                                                                               ;2017-10-27                              ;2017-11-02                              ;2018-01-24                              ;Aceptada                                ;                                                                                                    ;                                        ;                                        ;00408/2012                                        ;PTDO. JUDICIAL MÁLAGA                                                                                                                                 ;JUZGADO 1 INSTANCIA 19                                                                                                                                                                                                                                                                                                
         2;002 | B91108902 GINESCON CNES S.L.                                                                                                                    ;Aceptado  ;052020171000000000000558957000000000000000        ;B_01826794089500000044986718000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      1711;T. de sucesión procesal                                                                                                                               ;2017-10-30                              ;2017-10-31                              ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;00072/2012                                        ;PTDO. JUDICIAL SANLÚCAR LA MAYOR                                                                                                                      ;JUZGADO 1 INST E INSTRUCC. 2                                                                                                                                                                                                                                                                                          
         3;003 | B39324991 ACRON EMPRESA CONSTRUCTORA S.L.                                                                                                       ;Cerrado   ;011114045046609528000000000000000000000000        ;B_01823559089500000046609528000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      1624;T. de sucesión procesal                                                                                                                               ;2017-10-10                              ;2017-10-10                              ;2017-11-02                              ;Aceptada                                ;                                                                                                    ;                                        ;                                        ;00387/2016                                        ;PTDO. JUDICIAL MÁLAGA                                                                                                                                 ;JUZGADO 1 INSTANCIA 18                                                                                                                                                                                                                                                                                                
         4;004 | B41937947 AGORA EDIFICIOS ANDALUCES S.L.                                                                                                        ;Aceptado  ;052020171000000000000559658000000000000000        ;B_01826794089500000045266213000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;          ;                                                                                                                                                      ;                                        ;                                        ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;                                                  ;                                                                                                                                                      ;                                                                                                                                                                                                                                                                                                                      
         5;005 | B03734050 ACINTUR URBANA S.L.                                                                                                                   ;Aceptado  ;052020171000000000000529453000000000000000        ;B_01826768089500000044670864000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      1623;T. de sucesión procesal                                                                                                                               ;2017-11-02                              ;2017-11-02                              ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;00440/2014                                        ;PTDO. JUDICIAL BENIDORM                                                                                                                               ;JUZGADO 1º INSTANCIA 1                                                                                                                                                                                                                                                                                                
        21;021 | A29403052 AIFOS ARQUITECTURA Y PROM. INMO                                                                                                       ;Aceptado  ;052020171000000000000533455000000000000000        ;B_01826769089500000045177997000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      1625;T. de sucesión procesal                                                                                                                               ;2017-11-03                              ;2017-11-03                              ;2017-11-30                              ;Aceptada                                ;                                                                                                    ;                                        ;                                        ;00505/2012                                        ;PTDO. JUDICIAL ROQUETAS DE MAR                                                                                                                        ;JUZGADO 1 INST E INSTRUCC. 1                                                                                                                                                                                                                                                                                          
        27;027 | A82380874 ANDRIA INVERSIONES INMOBILIARIAS                                                                                                      ;Aceptado  ;052020171000000000000511550000000000000000        ;B_01826736089500000046061174000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      1632;T. de sucesión procesal                                                                                                                               ;2017-11-06                              ;2017-11-06                              ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;00505/2013                                        ;PTDO. JUDICIAL MADRID                                                                                                                                 ;JUZGADO 1 INSTANCIA 32                                                                                                                                                                                                                                                                                                
        28;028 | B92361914 APARTAMENTOS DOBAR S.L.                                                                                                               ;Cerrado   ;052020171000000000000504258000000000000000        ;B_01823559089500000044552801000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      2521;T. de sucesión procesal                                                                                                                               ;2017-12-14                              ;                                        ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;00788/2017                                        ;PTDO. JUDICIAL MARBELLA                                                                                                                               ;MARB-PI-7                                                                                                                                                                                                                                                                                                             
        29;029 | A10258093 AREA CYO SA                                                                                                                           ;Aceptado  ;052020171000000000000514158000000000000000        ;B_01826736089500000045039383000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      1639;T. de sucesión procesal                                                                                                                               ;2017-11-06                              ;2017-11-06                              ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;01263/2011                                        ;PTDO. JUDICIAL MADRID                                                                                                                                 ;JUZGADO 1 INSTANCIA 32                                                                                                                                                                                                                                                                                                
        30;030 | B41867946 ALBEROPAN S.L.                                                                                                                        ;Aceptado  ;052020171000000000000550152000000000000000        ;B_01826778089500000045464161000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      1626;T. de sucesión procesal                                                                                                                               ;2017-10-31                              ;2017-10-31                              ;2018-03-02                              ;Aceptada                                ;Escritura                                                                                           ;                                        ;2018-03-07                              ;00685/2010                                        ;PTDO. JUDICIAL ALCALÁ DE GUADAIRA                                                                                                                     ;JUZGADO 1 INST E INSTRUCC. 2                                                                                                                                                                                                                                                                                          
        31;031 | B13243142 ALEMI CONSTRUCCIONES Y REFORMAS                                                                                                       ;Aceptado  ;052020171000000000000566851000000000000000        ;B_01826736097400000070993003000993003             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      1627;T. de sucesión procesal                                                                                                                               ;2017-10-27                              ;2017-10-27                              ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;00066/2014                                        ;PTDO. JUDICIAL TOMELLOSO                                                                                                                              ;JUZGADO 1 INST E INSTRUCC. 3                                                                                                                                                                                                                                                                                          
        32;032 | A95378261 GESVINOR PROMOCIONES S.A.                                                                                                             ;Aceptado  ;052020171000000000000526459000000000000000        ;B_01826742089500000045020557000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      1710;T. de sucesión procesal                                                                                                                               ;2017-10-30                              ;2017-11-02                              ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;00020/2016                                        ;PTDO. JUDICIAL LOGROÑO                                                                                                                                ;JUZGADO 1 INSTANCIA 6                                                                                                                                                                                                                                                                                                 
        41;041 | B73106718 EDIFICIOS Y VIAS S.L.                                                                                                                 ;Cerrado   ;052020171000000000000527358000000000000000        ;B_01826768089500000044444661000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;          ;                                                                                                                                                      ;                                        ;                                        ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;                                                  ;                                                                                                                                                      ;                                                                                                                                                                                                                                                                                                                      
        42;042 | B81684904 PROMOFUENTE S.L.                                                                                                                      ;Aceptado  ;052020171000000000000550558000000000000000        ;B_01826778089500000045889228000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      1736;T. de sucesión procesal                                                                                                                               ;2017-10-30                              ;2017-11-02                              ;2018-03-02                              ;Aceptada                                ;                                                                                                    ;                                        ;                                        ;00526/2016                                        ;                                                                                                                                                      ;                                                                                                                                                                                                                                                                                                                      
        43;043 | B82038621 OBRAS Y REFORMAS CONSVER S.L.                                                                                                         ;Aceptado  ;052020171000000000000513853000000000000000        ;B_01826736089500000044855147000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      1793;T. de sucesión procesal                                                                                                                               ;2017-10-29                              ;2017-11-02                              ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;00825/2012                                        ;PTDO. JUDICIAL ALCORCÓN                                                                                                                               ;JUZGADO 1 INST E INSTRUCC. 1                                                                                                                                                                                                                                                                                          
        44;044 | B91410423 PRODEMA SUR S.R.L.                                                                                                                    ;Aceptado  ;052020171000000000000559856000000000000000        ;B_01826794089500000045909169000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      1846;T. de sucesión procesal                                                                                                                               ;2017-10-30                              ;2017-10-31                              ;2017-12-04                              ;Requerimiento                           ;Acreditar inscripción en R.P.                                                                       ;                                        ;                                        ;00303/2014                                        ;PTDO. JUDICIAL UTRERA                                                                                                                                 ;JUZGADO 1 INST E INSTRUCC. 4                                                                                                                                                                                                                                                                                          
        45;045 | B92308873 NABAHIA S.L.                                                                                                                          ;Cerrado   ;052020171000000000000505255000000000000000        ;B_01823559089500000045241817000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;          ;                                                                                                                                                      ;                                        ;                                        ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;                                                  ;                                                                                                                                                      ;                                                                                                                                                                                                                                                                                                                      
        46;046 | B92627249 PROMOCIONES ARANDA Y AGUADO S.L.                                                                                                      ;Aceptado  ;052020171000000000000505750000000000000000        ;B_01823559089500000045436409000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      1869;T. de sucesión procesal                                                                                                                               ;2017-10-30                              ;2017-11-02                              ;2017-11-24                              ;Aceptada                                ;                                                                                                    ;                                        ;                                        ;00071/2014                                        ;PTDO. JUDICIAL MÁLAGA                                                                                                                                 ;JUZGADO 1 INSTANCIA 3                                                                                                                                                                                                                                                                                                 
        47;047 | B92835222 INCOPROIN PROMOCIONES S.L.                                                                                                            ;Aceptado  ;052020171000000000000507152000000000000000        ;B_01823559089500000046170957000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      1739;T. de sucesión procesal                                                                                                                               ;2017-10-31                              ;2017-11-02                              ;2018-02-22                              ;Aceptada                                ;                                                                                                    ;                                        ;                                        ;00519/2013                                        ;                                                                                                                                                      ;                                                                                                                                                                                                                                                                                                                      
        48;048 | B97465447 PROMOCIONES FORQUIAS.L.                                                                                                               ;Aceptado  ;052020171000000000000561951000000000000000        ;B_01826797089500000044720255000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      2578;T. de sucesión procesal                                                                                                                               ;2017-12-18                              ;2017-12-19                              ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;00463/2016                                        ;PTDO. JUDICIAL GANDIA                                                                                                                                 ;JUZGADO 1 INST E INSTRUCC. 4                                                                                                                                                                                                                                                                                          
        49;049 | A13158944 CONSTRUCCIONES JULIAN ARRIBAS S.A.                                                                                                    ;Aceptado  ;052020171000000000000512053000000000000000        ;B_01826736089500000045325413000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      2019;T. de sucesión procesal                                                                                                                               ;2017-11-06                              ;2017-11-06                              ;2017-11-20                              ;Denegada                                ;                                                                                                    ;Otros                                   ;                                        ;00069/2012                                        ;PTDO. JUDICIAL TOMELLOSO                                                                                                                              ;JUZGADO 1 INST E INSTRUCC. 2                                                                                                                                                                                                                                                                                          
