ID_HAYA,ID_CAIXA,ESTADO_PUBLICACION_VENTA,ESTADO_PUBLICACION_ALQUILER,MOTIVO_VENTA,MOTIVO_ALQUILER
5940099,89006536,04,01,01,
5935338,89006710,03,01,,
5956409,89006653,01,04,,01
5929824,89006716,01,04,,01
5953488,89006718,01,04,,01
5929932,89006656,01,04,,01
5970367,89006673,04,01,01,
5939703,89006657,03,01,,
5968943,89006666,04,01,01,
5966016,89006679,01,04,,01
5953435,89006628,01,04,,01
5969517,89006682,01,04,,01
5951060,89006662,01,04,,01
5935423,89006687,01,04,,01
5938784,89006690,01,04,,01
5934332,89006635,01,04,,01
5966173,89006664,01,04,,01
5924960,89006693,01,04,,01
5940800,89006697,01,04,,01
5951048,89006643,04,01,01,
5926794,89006646,01,04,,01
5963717,89006668,01,04,,01
5958685,89000021,04,01,07,
5930110,89006650,04,01,01,
5927424,89006702,01,04,,01
5970091,89006706,01,04,,01
5928798,89006746,03,01,,
5940317,89006757,01,04,,01
5968276,89006777,04,01,01,
5935594,89006760,04,01,01,
5934993,89006784,04,01,01,
5931003,89006619,03,01,,
5964766,89006625,03,01,,
5950299,89006763,03,01,,
5930290,89006786,04,01,01,
5940411,89006765,01,04,,01
5953228,89006768,01,04,,01
5967757,89006791,01,04,,01
5953639,89006722,01,04,,01
5948001,89006750,01,04,,01
5937488,89006724,01,04,,01
5951503,89006728,04,01,01,
5936062,89006773,03,01,,
5934914,89006732,04,01,01,
5962417,89006753,04,01,01,
5953721,89006796,01,04,,01
5950186,89006736,01,04,,01
5947464,89006740,01,04,,01
5962879,89006743,04,01,01,
5957431,89006799,04,01,01,
5929605,89006803,04,01,01,
5938913,89006806,04,01,01,
5929291,89006876,03,04,,
5959712,89006829,01,04,,01
5942987,89006879,04,01,01,
5934125,89006884,01,04,,01
5957918,89006844,03,01,,
5950726,89006822,01,04,,01
5926634,89006825,04,01,01,
5936672,89006847,03,01,,
5941593,89006833,04,01,01,
5953510,89006837,04,01,01,
5969304,89006850,04,01,01,
5964906,89006852,04,01,12,
5968346,89006811,03,01,,
5932100,89006856,03,01,,
5942091,89006815,03,01,,
6073104,89006820,01,01,,
5955700,89000025,04,01,01,
5965202,89006863,04,01,01,
5959662,89006866,03,01,,
5950617,89006971,01,04,,01
5951954,89006902,01,04,,01
5931781,89006931,04,04,01,01
5947601,89006975,04,04,01,01
5929981,89006980,01,04,,01
5935044,89007032,01,04,,01
5936896,89000027,04,01,01,
5925024,89006909,04,01,14,
5959139,89006934,01,01,,
5926039,89006937,01,04,,01
5938184,89006984,01,04,,01
5926935,89006912,01,04,,01
5962527,89006990,01,04,,01
5938581,89000028,03,01,,
5967161,89000029,03,01,,
5930006,89006916,01,04,,01
5957635,89006943,01,04,,01
5968479,89006919,01,04,,01
5952658,89006945,01,04,,01
5944121,89006923,04,01,01,
5925807,89006949,03,01,,
5943234,89007000,01,04,,01
5966545,89007003,04,01,01,
5932694,89007006,01,04,,01
5930078,89000030,04,01,07,
5957451,89007012,01,04,,01
5959414,89007015,04,01,01,
5969500,89007017,01,04,,01
5969634,89006954,04,01,01,
5960417,89006958,01,04,,01
5946454,89006987,04,01,01,
5968297,89006891,04,01,01,
5951053,89006927,01,04,,01
5928502,89006961,04,01,01,
5932108,89006893,01,04,,01
5951965,89006962,01,04,,01
5952184,89007026,04,01,06,
5956564,89007029,01,04,,01
5941545,89006895,04,01,01,
5969670,89006899,04,04,01,01
5933218,89006968,04,04,01,01
5942574,89007161,01,04,,01
5931605,89007163,03,01,,
5961723,89007087,01,04,,01
5969704,89007167,01,04,,01
5962147,89007124,04,01,01,
5925025,89007135,04,01,01,
5946620,89000036,03,01,,
5959648,89007091,03,01,,
6073408,89000031,04,01,01,
6073409,89000032,04,01,01,
6044994,89007100,01,01,,
5950672,89007129,01,04,,01
5953133,89007132,01,04,,01
5925764,89007042,04,01,01,
5954658,89007106,01,04,,01
5931823,89007108,04,01,01,
5941779,89007045,01,04,,01
6073483,89000035,04,01,01,
5927996,89007143,01,04,,01
5961277,89007147,01,04,,01
5962346,89007111,04,01,01,
5930616,89007114,03,01,,
5942436,89007150,01,04,,01
5965242,89007048,01,01,,
5969414,89007052,03,01,,
5960507,89007056,01,04,,01
5934984,89007058,04,01,01,
5926276,89007061,01,04,,01
5966299,89007065,04,01,01,
5950051,89007118,01,04,,01
5932003,89007071,01,04,,01
5936181,89007073,01,04,,01
5953696,89007076,01,04,,01
5932485,89007154,01,04,,01
5964225,89007120,04,04,01,01
5966438,89007156,01,01,,
5934508,89007085,04,01,01,
5950777,89007296,04,01,01,
5938667,89007266,04,01,01,
5932554,89000041,03,01,,
5957354,89007225,04,01,01,
5937806,89007195,04,01,01,
5952225,89007197,04,01,01,
5931682,89007035,01,04,,01
5959602,89007039,04,01,01,
5938439,89007199,04,01,01,
5934493,89007270,01,04,,01
5970424,89007171,03,01,,
5936510,89007205,01,04,,01
5938652,89007231,04,01,01,
5928924,89007177,04,01,12,
5938110,89007181,04,01,01,
5942453,89000039,03,01,,
5962952,89007207,01,04,,01
5939761,89007234,01,04,,01
5932333,89007237,04,01,01,
5957474,89007208,04,01,01,
5962993,89007239,01,04,,01
5946216,89007183,01,01,,
5956764,89007212,01,04,,01
5959102,89000040,04,01,07,
5940120,89007274,01,01,,
5927943,89007278,01,04,,01
5954409,89007185,04,01,01,
5963782,89007244,01,04,,01
5944823,89007250,01,04,,01
5939270,89007188,04,01,01,
5936186,89007253,04,01,01,
5940101,89007284,03,01,,
5934931,89007256,01,04,,01
5926628,89007290,01,04,,01
5960066,89007293,01,04,,01
5955728,89007193,04,01,01,
5937596,89007217,01,04,,01
5943549,89007261,01,04,,01
5928981,89000046,04,01,07,
5969269,89007220,01,01,,
5942923,89000052,04,01,07,
5936870,89007456,04,01,01,
5959908,89007359,04,01,01,
5956357,89007408,01,04,,01
5957631,89007459,04,01,01,
5958395,89007313,03,01,,
5966124,89007412,01,04,,01
5930571,89007414,01,04,,01
5940212,89007418,01,04,,01
5934789,89007428,04,04,01,01
5969706,89007461,03,01,,
5926509,89000053,01,01,,
5958873,89007424,01,04,,01
5944020,89007362,01,04,,01
5935987,89007317,03,01,,
5966206,89007321,01,04,,01
5968743,89007366,04,01,01,
5942202,89007369,01,04,,01
5951391,89007372,01,04,,01
5950574,89007374,01,04,,01
5966721,89007325,04,01,01,
5952465,89007329,04,01,01,
5947230,89007378,04,01,01,
5940412,89007381,01,04,,01
5928068,89007332,01,01,,
5970289,89007334,04,01,01,
5929834,89007339,04,04,01,01
5968822,89007435,04,01,01,
5947121,89007438,01,04,,01
5931138,89007441,04,01,01,
5951710,89007342,01,04,,01
5944717,89007389,01,04,,01
5937306,89007392,04,04,01,01
5951478,89007443,01,04,,01
5951035,89007345,01,04,,01
5964196,89007348,01,04,,01
5925177,89007395,01,04,,01
5926408,89007450,01,01,,
5957247,89007398,04,01,01,
5935453,89007308,01,04,,01
5954699,89007352,04,04,01,01
5938450,89007355,01,04,,01
5956106,89007356,01,01,,
5959341,89007402,04,01,01,
5959449,89007453,01,04,,01
5942171,89007638,01,04,,01
5935034,89007582,03,01,,
5949021,89007641,04,01,01,
5969989,89007526,04,01,01,
5948617,89007530,01,04,,01
5931082,89007298,03,01,,
5959039,89007301,01,04,,01
5939693,89007488,01,04,,01
5925166,89007537,01,04,,01
5946581,89007540,01,01,,
5948840,89007544,01,04,,01
5943175,89007584,01,04,,01
5946866,89007546,04,01,01,
5924913,89007589,01,04,,01
5936728,89007591,04,01,01,
5928302,89007595,04,04,01,01
5948062,89007552,04,01,01,
5928833,89007604,03,01,,
5949784,89007464,04,01,01,
5952839,89007494,04,01,01,
5934379,89007562,01,04,,01
5932913,89007607,04,01,01,
5926508,89007613,01,04,,01
5960937,89007504,01,04,,01
6044697,89007567,04,01,01,
5930645,89007571,01,04,,01
5930792,89007618,01,04,,01
5935169,89007621,01,04,,01
5968325,89007467,01,04,,01
5961926,89000067,04,01,07,
5933460,89007626,04,01,01,
5955633,89007473,04,01,01,
5937180,89007510,04,04,01,01
5936257,89007577,01,04,,01
5964133,89007476,03,01,,
5945942,89007513,04,01,01,
5940973,89007630,04,01,01,
5928914,89007633,04,01,01,
5964265,89007479,01,04,,01
5961444,89007522,01,04,,01
5949377,89007703,04,04,01,01
5955395,89007705,04,04,01,01
5943584,89007750,01,04,,01
5960622,89007753,04,04,01,01
6074104,89000103,04,01,01,
5962855,89007781,04,01,01,
5946166,89007783,04,01,01,
5935478,89007786,01,01,,
5936698,89007801,04,01,01,
5950473,89007805,04,01,01,
5926904,89007808,01,04,,01
5962228,89007854,04,01,01,
5929268,89007857,03,01,,
5966549,89007812,03,01,,
5940363,89007650,04,01,01,
5959624,89007713,04,04,01,01
5936185,89007719,04,01,01,
5931636,89007721,01,04,,01
5943961,89007653,04,01,01,
5950187,89007818,04,04,01,01
5960538,89007656,04,01,01,
5958905,89007730,04,01,01,
5956232,89007762,04,01,01,
5944643,89007822,01,04,,01
5960421,89007768,03,01,,
5926544,89007676,04,01,01,
5968570,89007838,01,04,,01
5925080,89007844,01,04,,01
5960386,89007684,01,04,,01
5959861,89007687,04,04,01,01
6074003,89000085,01,01,,
6074004,89000086,04,01,01,
5963578,89007697,04,04,01,01
5958624,89007699,01,04,,01
5949152,89007741,04,04,01,01
5941125,89000093,04,01,07,
5938873,89007745,01,04,,01
5933146,89007747,04,04,01,01
5925957,89007987,04,01,01,
5965592,89007969,04,04,01,01
5970249,89007892,01,01,,
5955637,89007895,04,04,01,01
5955467,89007645,04,01,01,
6074239,89000143,04,01,01,
5938384,89007862,04,01,01,
5929704,89007866,04,01,01,
5948499,89007870,01,04,,01
5936911,89007931,03,01,,
5925913,89007935,04,01,01,
5960508,89007876,01,01,,
5969811,89007977,01,01,,
5936228,89007942,04,01,01,
5951741,89007944,04,01,01,
5949119,89007984,04,01,01,
5960083,89008124,04,01,01,
5969559,89008037,04,01,01,
5942434,89008127,01,01,,
5944993,89008008,04,01,01,
5930867,89008041,01,04,,01
5957382,89008089,03,01,,
5950930,89008013,04,04,01,01
5957845,89008049,04,01,01,
5935895,89008052,03,01,,
5943097,89008093,04,04,01,01
5926488,89008098,03,01,,
5964803,89008022,04,01,01,
5953210,89008059,01,04,,01
5925740,89008102,04,01,01,
5936986,89008066,01,04,,01
5968474,89008069,04,04,01,01
5968535,89007995,04,01,01,
5963941,89007998,04,01,01,
5938623,89008116,04,04,01,01
5961759,89000178,04,01,01,
6344498,89008031,01,01,,
5965853,89008299,03,01,,
5947092,89008302,04,01,01,
5954352,89008307,04,01,01,
5940022,89008203,04,04,01,01
5932953,89008255,04,04,01,01
5932581,89008315,04,01,01,
5941355,89008319,04,01,01,
5958169,89008323,04,04,01,01
5947185,89008206,04,01,01,
5936863,89008210,01,01,,
5934017,89008264,04,01,01,
5929666,89008162,04,04,01,01
5928660,89008166,04,04,01,01
5926482,89008220,03,01,,
5931554,89008226,01,01,,
5966316,89008229,04,04,01,01
5955002,89008233,04,01,01,
5943991,89008271,04,01,01,
5932952,89008178,01,04,,01
5926613,89008181,01,04,,01
5955131,89008185,04,01,12,
5953074,89008236,04,04,01,01
5929832,89008241,04,04,01,01
5939759,89008135,01,01,,
5966535,89008192,04,04,01,01
5938977,89008248,04,01,01,
5934165,89008143,01,04,,01
5954128,89008147,01,01,,
5966841,89008148,01,01,,
5946560,89008152,01,04,,01
5951929,89008196,04,04,01,01
5925288,89008197,01,04,,01
5962716,89008252,04,01,01,
5953900,89008409,04,04,01,01
5930389,89008461,01,01,,
5927043,89008559,01,04,,01
5939143,89008562,01,04,,01
5941042,89008474,04,01,01,
5946943,89008482,01,04,,01
5949243,89008486,03,01,,
5954666,89008503,04,04,01,01
5970108,89008507,04,01,01,
5963753,89008563,01,04,,01
5950325,89008566,04,04,01,01
5941799,89008370,01,04,,01
5940828,89008377,01,04,,01
5926825,89008510,01,04,,01
5966895,89008571,01,04,,01
5969239,89008382,04,04,01,01
5969098,89008386,04,04,01,01
5933428,89008390,01,01,,
5940850,89008530,01,04,,01
5952550,89008416,01,04,,01
5957974,89008421,04,04,01,01
5935689,89008541,01,04,,01
5938424,89008394,01,04,,01
5964749,89008397,04,01,12,
5937080,89008337,04,01,12,
6074537,89000217,04,01,01,
6074541,89008350,01,01,,
5926541,89008352,04,04,01,01
5937265,89008356,04,01,01,
5930204,89008406,04,01,01,
5944907,89008364,04,01,01,
6074613,89000233,04,01,01,
5959907,89008453,04,01,01,
5967834,89008456,01,04,,01
5958334,89008457,04,01,01,
5929850,89008557,01,01,,
5955539,89008778,03,01,,
5966096,89008585,01,04,,01
5934293,89008588,04,04,01,01
5957658,89008659,01,04,,01
5949935,89008708,01,04,,01
5929235,89008603,03,01,,
5935360,89008607,04,04,01,01
5941806,89008663,01,01,,
5933633,89008797,01,04,,01
5964358,89008801,04,01,01,
5935491,89008803,04,01,01,
5941823,89008806,04,01,01,
5942823,89008611,04,01,01,
5934635,89008618,01,01,,
5945879,89008715,04,04,01,
5965061,89008622,01,01,,
5945511,89008675,04,04,01,01
5930405,89008682,04,01,01,
5925266,89008720,04,01,01,
5926284,89008724,04,04,01,01
5952324,89008729,04,01,01,
5927456,89008733,04,01,01,
5946281,89008739,04,01,07,
5927470,89008746,01,04,,01
5953357,89008577,01,01,,
5933895,89008693,01,01,,
5951675,89008639,04,01,01,
6710283,89000264,01,01,,
5939262,89008696,01,04,,01
5964873,89008698,04,04,01,01
5962812,89008749,04,01,01,
5933855,89008759,04,01,01,
5955013,89008648,04,01,01,
5962854,89008764,04,04,01,01
5926726,89008765,04,04,01,01
6074749,89008654,04,01,01,
5950058,89008768,04,01,01,
5956768,89008773,04,01,01,
5927064,89008703,04,04,01,01
5945299,89008705,04,04,01,01
5965976,89008776,04,01,01,
5967096,89008991,04,04,01,01
6074958,89000325,04,01,01,
5930629,89009284,04,04,01,01
5928510,89009286,04,01,01,
5928638,89009290,01,04,,01
5938520,89009294,01,01,,
5957198,89008908,01,01,,
5939045,89008999,04,01,01,
5944769,89009004,04,04,01,01
5930939,89009122,04,01,01,
5939299,89009130,04,04,01,01
5937251,89009304,04,01,01,
5945016,89009312,04,01,01,
5942947,89008915,01,01,,
5953794,89009177,04,01,12,
5943467,89009179,01,01,,
5925486,89009317,04,01,01,
5936447,89009320,01,04,,01
5943428,89008918,04,01,12,
5926834,89008923,01,04,,01
5969790,89009147,03,01,,
5934560,89009322,04,01,01,
6075157,89009323,04,01,01,
6075158,89000358,04,01,01,
6075159,89000359,04,01,01,
6075160,89000360,04,01,01,
5944552,89008929,01,04,,01
5940934,89009151,04,01,01,
5950795,89009155,01,01,,
5937150,89009163,03,01,,
5934166,89009168,04,04,01,01
5961514,89009204,03,01,,
5963066,89009209,04,01,01,
5946263,89009212,04,04,01,01
5951989,89008810,04,04,01,01
5929896,89008933,04,01,12,
5956651,89009007,04,04,01,01
5935867,89009216,04,04,01,01
5965207,89008817,04,04,01,01
6074878,89008821,01,01,,
5951161,89008940,04,04,01,01
5953370,89009010,04,01,01,
5944756,89009017,01,01,,
6764173,89009020,01,01,,
5937795,89009026,04,01,01,
6074974,89009030,01,01,,
5948594,89009036,01,04,,01
5930309,89009219,03,01,,
5951448,89009223,03,01,,
5958166,89009227,03,01,,
5968148,89009233,03,01,,
5940718,89009244,01,04,,01
5945081,89008830,04,04,01,01
5948629,89009040,04,01,01,
6074991,89000330,04,01,01,
5925886,89008943,04,04,01,01
5927057,89009255,01,04,,01
5924916,89009258,04,01,01,
5939046,89009262,04,04,01,01
6074887,89008834,01,01,,
5945651,89008837,04,04,01,01
5955198,89009060,04,01,01,
5939343,89009265,04,01,01,
5955393,89008847,04,04,01,01
5932250,89008851,04,04,01,01
5934525,89008946,04,01,01,
5926212,89008950,03,01,,
5959422,89009067,04,04,01,01
5965686,89008858,04,04,01,01
5930529,89008865,04,01,01,
5964812,89008869,01,04,,01
5946156,89008953,01,04,,01
5945780,89008957,04,01,01,
5947786,89008961,04,01,01,
5938831,89009072,01,01,,
5941429,89008872,01,04,,01
5939246,89009084,04,04,01,01
5947999,89008875,01,01,,
5952291,89008882,01,04,,01
5934443,89008886,04,01,01,
5961875,89008967,04,04,01,01
5926383,89008971,01,04,,01
5925976,89009088,04,01,01,
5949168,89008894,04,04,01,01
5927646,89009093,01,04,,01
5934638,89009096,01,04,,01
5966906,89008901,04,01,01,
5932604,89008982,04,01,01,
5944647,89009105,03,01,,
5953931,89009112,01,04,,01
5964368,89009115,04,01,01,
5928469,89009277,04,04,01,01
5939459,89009629,03,01,,
5967937,89009633,01,01,,
5925062,89009635,04,01,01,
5942546,89009637,04,01,01,
6075225,89009454,04,01,01,
5925436,89009641,03,01,,
5931448,89009644,04,01,01,
5925598,89009648,04,01,01,
5963107,89009695,04,01,01,
5946251,89009463,04,04,01,01
5927196,89009655,01,04,,01
5940917,89009698,01,04,,01
5929120,89009331,04,01,01,
5945390,89009334,04,04,01,01
5939292,89009338,04,04,01,01
5969509,89009658,01,04,,01
5952419,89009701,04,01,01,
5940746,89009341,04,04,01,01
5969740,89009344,04,04,01,01
5966062,89009474,01,01,,
5929721,89009481,03,01,,
5955409,89009667,04,04,01,14
5938559,89009669,04,01,01,
5947629,89009675,04,01,01,
5967146,89009364,01,01,,
5957283,89009368,03,01,,
5937362,89009376,01,01,,
5953808,89009377,04,01,01,
5963469,89009486,01,04,,01
5962304,89009490,04,04,01,01
5949751,89009381,04,01,01,
5964351,89009385,04,01,01,
5953720,89009395,04,04,01,01
5927956,89009398,03,04,,01
5970237,89009498,03,01,,
5948696,89009502,04,04,01,01
5930220,89009686,01,04,,01
5952529,89009412,01,01,,
5947446,89009416,04,04,01,01
6075279,89009509,01,01,,
5927273,89009512,04,01,01,
5928335,89009516,01,01,,
5936633,89009518,01,01,,
5959271,89009522,01,01,,
5956615,89009425,01,01,,
5943271,89009527,04,01,01,
5937669,89009532,04,01,12,
5936876,89009536,03,03,,
5950516,89009541,03,01,,
5954674,89009545,04,01,01,
5965984,89009432,04,04,01,01
6075241,89009435,01,01,,
5926622,89009440,04,01,01,
5951601,89000370,04,01,01,
5963862,89009548,04,01,01,
5942917,89009549,03,01,,
5932033,89009550,04,01,01,
5966137,89009553,03,01,,
5949635,89009557,03,01,,
5940773,89009560,03,01,,
5935263,89009562,01,01,,
5963771,89009565,04,01,01,
5942518,89009570,04,01,01,
5936048,89009573,04,01,01,
5937151,89009575,04,01,01,
5948236,89009578,04,01,01,
5956655,89009582,04,01,01,
5957478,89009586,01,01,,
5959419,89009447,04,04,01,01
6075239,89009451,04,01,01,
5930665,89009589,04,01,01,
5930520,89009592,01,01,,
5927475,89009595,04,01,01,
5966815,89009598,04,01,01,
5936730,89009604,01,01,,
5935498,89009706,04,01,01,
5964011,89009608,03,01,,
5933594,89009612,03,01,,
5933745,89009615,01,01,,
5961730,89009617,04,01,01,
5969774,89009787,01,04,,01
5963781,89009790,01,04,,01
5952808,89009722,01,04,,01
5936878,89009760,01,04,,01
5941583,89009763,04,01,01,
5943829,89009766,03,01,,
5959369,89009726,03,01,,
5963763,89009802,01,04,,01
5961279,89009806,04,01,01,
5949874,89009738,04,01,01,
5951770,89009795,04,01,01,
5967207,89009769,04,01,01,
5942854,89009747,01,04,,01
5941123,89009751,04,01,01,
5955954,89009713,01,04,,01
5969624,89009717,04,01,01,
5965843,89009719,04,01,01,
5960237,89009774,04,04,01,01
5966926,89009778,04,01,01,
5946617,89009757,04,01,01,
5933001,89009782,03,01,,
5966042,89009980,04,01,01,
5948750,89009941,01,04,,01
5969922,89009983,01,04,,01
5946400,89009832,01,04,,01
5949722,89009835,04,01,01,
5944690,89009942,03,01,,
5966800,89009840,01,04,,01
5952551,89009842,04,04,01,01
