NUM_ACTIVO_HAYA|NUM_OFERTA_REM|FECHA_INGRE_CHEQUE_REM|PRINEX_FECHA_CONTABLE_VENTA
6039506|60147034||16/12/2016
6039535|70412562||08/08/2017
6039545|64153745||19/04/2017
6039546|57789320||19/01/2017
6039610|67118355||17/07/2017
6039625|61273539||27/01/2017
6039630|60204520||18/01/2017
6039653|71517434||23/11/2017
6039663|64618314||06/04/2017
6039673|90102600||01/11/2017
6039693|56132427||22/09/2016
6039709|65244785||12/05/2017
6039710|66263369||16/05/2017
6039720|62189901||14/03/2017
6039721|56051068||26/08/2016
6039722|66494573||24/07/2017
6039725|90002594||15/12/2017
6039727|60250811||19/12/2016
6039730|62661200||18/04/2017
6039733|61048059||14/03/2017
6039739|61952978||28/02/2017
6039741|62032926||01/03/2017
6039753|64376625||21/02/2017
6039757|52177053||01/01/2016
6039764|61441902||25/01/2017
6039765|57431252||17/10/2016
6039767|54707966||28/04/2016
6039799|58663873||14/11/2016
6039811|63563371||17/04/2017
6039812|59226142||20/01/2017
6039813|58878915||20/01/2017
6039814|63563371||17/04/2017
6039840|52181350||27/01/2016
6039843|57940153||16/12/2016
6039847|63646213||21/03/2017
6039855|60041755||19/01/2017
6039863|59544340||22/12/2016
6039881|66507737||26/05/2017
6039909|52173036||21/01/2016
6039915|52174065||22/01/2016
6039917|65832015||16/05/2017
6039927|65477345||22/05/2017
6039937|60011275||13/12/2016
6039943|60351387||16/12/2016
6039954|90001059||22/11/2017
6039962|68366067||26/09/2017
6039973|66552620||25/07/2017
6040102|68762043||09/08/2017
6040112|58288772||23/12/2016
6040204|65910737||14/06/2017
6040376|56344463||27/09/2016
6040378|62692233||24/03/2017
6040379|65088295||19/06/2017
6040389|71531889||09/11/2017
6040394|90000906||16/11/2017
6040398|56344832||09/09/2016
6040399|64044099||21/06/2017
6040401|69205649||22/08/2017
6040406|69171979||06/10/2017
6040410|57116635||18/11/2016
6040424|64551428||12/05/2017
6040426|64881743||21/06/2017
6040438|57003107||18/11/2016
6040454|58898374||19/12/2016
6040460|60178543||20/02/2017
6040463|57565907||25/10/2016
6040470|62154240||21/02/2017
6040471|71883037||10/11/2017
6040472|57385554||13/06/2016
6040475|59979266||13/12/2016
6040476|61968868||21/02/2017
6040477|64208631||18/05/2017
6040479|63276934||17/04/2017
6040481|62154240||21/02/2017
6040483|61968868||21/02/2017
6040484|64288330||20/04/2017
6040485|64288330||20/04/2017
6040487|61968868||21/02/2017
6040490|65050519||25/05/2017
6040496|61989850||23/03/2017
6040508|63567902||21/04/2017
6040511|63121539||26/05/2017
6040512|62768004||20/03/2017
6040515|65319995||12/06/2017
6040523|67306546||09/06/2017
6040524|66732479||05/05/2017
6040544|56154565||20/09/2016
6040545|58891486||28/11/2016
6040550|62050327||07/04/2017
6040557|66166441||14/06/2017
6040565|56892594||29/08/2016
6040570|60640279||23/01/2017
6040573|57345763||20/10/2016
6040587|69154887||16/08/2017
6040609|69470065||14/08/2017
6040632|69672808||18/10/2017
6040639|71919737||09/11/2017
6040651|56323237||25/10/2016
6040652|63729251||16/05/2017
6040661|70612481||17/11/2017
6040692|66690017||16/10/2017
6040693|67079690||10/07/2017
6040700|64403992||07/04/2017
6040701|64403992||07/04/2017
6040702|64403992||07/04/2017
6040703|64403992||07/04/2017
6040704|64403992||07/04/2017
6040705|64403992||07/04/2017
6040706|64403992||07/04/2017
6040707|64403992||07/04/2017
6040708|64403992||07/04/2017
6040709|69982430||20/09/2017
6040710|69982430||20/09/2017
6040713|67257374||21/06/2017
6040720|68459902||14/08/2017
6040722|66163697||18/07/2017
6040723|68459902||14/08/2017
6040725|61934010||24/03/2017
6040726|66162317||16/06/2017
6040728|69551055||20/09/2017
6040739|61934010||24/03/2017
6040740|68459902||14/08/2017
6040741|90002361||14/12/2017
6040742|61575216||24/02/2017
6040754|52145235||12/02/2016
6040755|58190512||14/12/2016
6040756|68751217||23/06/2017
6040757|68751217||23/06/2017
6040759|68751217||23/06/2017
6040760|68751217||23/06/2017
6040761|68751217||23/06/2017
6040763|68751217||23/06/2017
6040764|68751217||23/06/2017
6040765|68751217||23/06/2017
6040766|68751217||23/06/2017
6040794|90001669||14/12/2017
6040818|57387620||21/07/2016
6040819|57387620||21/07/2016
6040820|57387620||21/07/2016
6040821|57387620||21/07/2016
6040828|60668401||16/05/2017
6040831|58137529||16/05/2017
6040923|57776293||21/12/2016
6040925|70486598||17/10/2017
6040932|58454339||10/10/2017
6040933|58454456||10/10/2017
6040934|56637489||26/09/2016
6040958|60726684||07/02/2017
6040966|90003081||14/11/2017
6041024|52157459||18/01/2016
6041035|59961669||31/01/2017
6041036|90102665||01/11/2017
6041038|64375713||21/02/2017
6041045|65624113||03/04/2017
6041051|63745675||21/06/2017
6041055|52158137||12/01/2016
6041083|66391796||18/07/2017
6041088|62812229||14/03/2017
6041109|59951152||20/01/2017
6041113|68960021||09/08/2017
6041115|59378890||24/01/2017
6041116|59249192||20/02/2017
6041117|70675116||10/11/2017
6041119|54970324||17/03/2016
6041121|64668622||09/06/2017
6041125|61762594||24/03/2017
6041134|68533518||09/08/2017
6041139|68817425||20/09/2017
6041142|66810013||25/07/2017
6041156|61929755||22/05/2017
6041203|65956738||01/04/2017
6041224|59771285||25/01/2017
6041226|66805262||09/08/2017
6041236|67089497||24/08/2017
6041260|56692296||07/11/2016
6041268|69264473||16/10/2017
6041291|67689185||14/06/2017
6041301|66263369||16/05/2017
6041303|61456493||27/06/2017
6041304|69372118||23/08/2017
6041307|66645844||08/08/2017
6041310|68264706||16/11/2017
6041311|68109372||16/08/2017
6041312|56884405||20/09/2016
6041313|52145711||12/02/2016
6041314|58178097||17/11/2016
6041321|64294461||22/05/2017
6041337|63274975||17/01/2017
6041344|64905120||10/04/2017
6041384|60906434||14/03/2017
6041386|57039301||10/11/2016
6041392|57466895||19/10/2016
6041393|62244242||24/03/2017
6041424|56997447||10/10/2016
6041428|56642843||06/09/2016
6041435|59544340||22/12/2016
6041437|65764520||23/05/2017
6041468|70616643||11/10/2017
6041486|64523978||02/03/2017
6041500|64710410||16/05/2017
6041540|64887584||18/05/2017
6041542|66552620||25/07/2017
6041550|52150085||27/01/2016
6041557|65974508||26/06/2017
6041603|69952670||11/10/2017
6041607|71179622||17/11/2017
6041608|69473160||08/08/2017
6041609|60572326||19/12/2016
6041611|58269487||21/12/2016
6041616|52156916||26/01/2016
6041618|67371033||26/07/2017
6041621|54245421||12/05/2016
6041623|70620347||13/11/2017
6041646|64869112||20/09/2017
6041651|62190375||27/01/2017
6041654|90000816||23/11/2017
6041659|65239566||11/05/2017
6041665|66784250||16/06/2017
6041668|65346416||19/06/2017
6041674|59765388||23/12/2016
6041677|63159684||17/04/2017
6041701|61308589||09/02/2017
6041702|60034343||26/01/2017
6041714|71669472||12/12/2017
6041717|56250823||22/09/2016
6041719|65511908||25/05/2017
6041720|71115968||13/11/2017
6041721|71115968||13/11/2017
6041722|69654804||21/09/2017
6041738|66256929||19/06/2017
6041739|61505062||09/02/2017
6041741|62367684||24/03/2017
6041756|63190394||14/03/2017
6041788|59533758||15/12/2016
6041798|63680262||07/04/2017
6041799|70978659||21/11/2017
6041802|59878565||07/04/2017
6041810|66953652||25/07/2017
6041811|90000854||16/11/2017
6041823|71288278||23/11/2017
6041830|71319446||17/10/2017
6041845|62063832||10/02/2017
6041850|69513223||14/09/2017
6041870|62889622||11/05/2017
6041872|55821158||10/08/2016
6041879|58209741||21/12/2016
6041880|63906509||07/04/2017
6041886|90000983||27/11/2017
6041903|59509488||22/12/2016
6041907|71146981||23/10/2017
6041918|56731661||23/12/2016
6041920|57728916||17/10/2016
6041921|54698585||17/05/2016
6041922|56283202||10/10/2016
6041943|52161532||27/01/2016
6041951|68777011||21/08/2017
6041953|61789193||27/02/2017
6041955|63267446||20/04/2017
6041966|65266455||11/07/2017
6041967|68459902||14/08/2017
6041968|63650385||19/04/2017
6041970|66163697||18/07/2017
6041972|68318186||24/07/2017
6041973|71518715||10/11/2017
6041977|59443270||15/11/2016
6041984|57337808||22/09/2016
6041986|66238322||21/06/2017
6041987|90002731||14/12/2017
6041989|65194233||06/04/2017
6041990|59512163||14/02/2017
6042002|67424105||13/06/2017
6042003|67424105||13/06/2017
6042004|67424105||13/06/2017
6042010|51047854||15/02/2016
6042013|55770648||24/08/2016
6042019|69732437||20/09/2017
6042020|52148826||29/01/2016
6042050|61133122||09/02/2017
6042072|71544809||14/12/2017
6042091|65049182||30/03/2017
6042095|65932155||14/11/2016
6042096|69330961||07/08/2017
6042102|66308710||16/05/2017
6042117|69151296||06/10/2017
6042121|52747467||11/04/2016
6042127|67611590||22/06/2017
6042140|59421025||23/12/2016
6042165|61079703||21/02/2017
6042176|70776303||11/10/2017
6042177|58057685||14/11/2016
6042179|54245421||12/05/2016
6042180|70680704||13/11/2017
6042183|64544853||20/06/2017
6042184|64544853||20/06/2017
6042186|69925188||25/08/2017
6042189|64123985||18/05/2017
6042192|69776596||13/09/2017
6042193|69496724||08/08/2017
6042194|68133273||24/07/2017
6042196|59255692||16/12/2016
6042197|56238309||29/08/2016
6042198|52161990||28/01/2016
6042200|65669805||26/05/2017
6042201|65300046||26/06/2017
6042202|58565323||21/12/2016
6042208|71245985||24/10/2017
6042217|69299396||17/08/2017
6042225|61279866||15/03/2017
6042227|64123985||18/05/2017
6042236|71343464||09/11/2017
6042238|52179012||20/01/2016
6042240|70980773||18/10/2017
6042244|69354114||19/09/2017
6042255|67127726||11/10/2017
6042258|62245523||27/06/2017
6042259|59256360||08/05/2017
6042260|63345079||08/05/2017
6042261|61825112||27/06/2017
6042262|61152155||21/02/2017
6042263|58338253||24/01/2017
6042264|57410863||17/11/2016
6042266|62147675||26/05/2017
6042267|63345079||08/05/2017
6042268|66116863||24/07/2017
6042269|52146516||29/01/2016
6042305|68571233||24/07/2017
6042322|68849963||25/08/2017
6042345|61030228||10/02/2017
6042360|90001289||20/12/2017
6042364|90002666||23/11/2017
6042365|61540995||21/02/2017
6042371|66794426||12/06/2017
6042372|70014276||18/09/2017
6042373|70014276||18/09/2017
6042385|64787200||12/06/2017
6042395|64485533||08/05/2017
6042402|65254348||09/05/2017
6042425|59077802||20/01/2017
6042426|63064529||18/04/2017
6042427|59505588||19/01/2017
6042452|64476414||17/02/2017
6042459|64383299||17/02/2017
6042460|64383299||17/02/2017
6042469|61733151||13/02/2017
6042471|70139794||25/09/2017
6042474|61455698||17/01/2017
6042478|66194369||25/09/2017
6042479|59766669||23/03/2017
6042480|66780729||25/07/2017
6042481|59357926||19/01/2017
6042482|63109493||21/06/2017
6042484|69070927||16/08/2017
6042487|52149486||12/02/2016
6042488|61808974||24/03/2017
6042489|64502383||21/04/2017
6042490|67109119||24/07/2017
6042492|64859549||23/06/2017
6042493|63425274||11/05/2017
6042494|62397444||24/04/2017
6042497|63682824||18/04/2017
6042505|62980213||08/05/2017
6042509|90001938||13/12/2017
6042510|59301380||21/12/2016
6042517|61915086||14/03/2017
6042518|63701516||07/04/2017
6042519|60113509||23/01/2017
6042521|62277224||14/03/2017
6042522|90003601||22/12/2017
6042526|64769061||20/04/2017
6042529|60261395||15/03/2017
6042544|59125675||18/11/2016
6042552|61273160||24/01/2017
6042557|59126353||24/11/2016
6042562|64792050||18/04/2017
6042563|59124997||24/11/2016
6042572|90002484||23/11/2017
6042573|64826684||26/05/2017
6042574|59126605||24/11/2016
6042582|52143996||12/02/2016
6042588|59818343||19/01/2017
6042589|63988149||17/04/2017
6042591|64776132||16/05/2017
6042600|64272684||21/04/2017
6042607|64208407||16/06/2017
6042610|70755545||24/10/2017
6042615|62509467||16/05/2017
6042619|60608306||24/11/2017
6042620|59092215||22/12/2016
6042624|67424105||13/06/2017
6042625|67424105||13/06/2017
6042626|67424105||13/06/2017
6042639|52152278||12/02/2016
6042647|61539208||20/02/2017
6042649|66094229||19/07/2017
6042692|60843321||13/02/2017
6042698|59080080||21/12/2016
6042724|90000346||14/11/2017
6042725|71048189||23/10/2017
6042726|65615101||21/06/2017
6042727|61431619||07/04/2017
6042751|52150561||29/01/2016
6042755|67182164||27/06/2017
6042771|61365589||30/01/2017
6042779|70885445||25/10/2017
6042781|67370238||10/08/2017
6042782|60167465||19/01/2017
6042783|90002812||15/12/2017
6042784|59591660||13/12/2016
6042785|90001488||13/11/2017
6042792|64906159||16/05/2017
6042794|60965978||18/01/2017
6042820|67610210||10/08/2017
6042823|65276855||20/04/2017
6042834|62340599||13/12/2017
6042835|65993289||20/06/2017
6042838|62063697||24/05/2017
6042856|90001547||12/12/2017
6042862|67111584||21/08/2017
6042871|66962303||26/09/2017
6042879|62029765||21/03/2017
6042880|62156443||23/03/2017
6042881|61989850||23/03/2017
6042882|62050327||07/04/2017
6042889|70516368||21/09/2017
6042890|70516368||21/09/2017
6042896|61753007||23/02/2017
6042907|54706937||16/05/2016
6042913|68955990||21/08/2017
6042914|62448188||07/04/2017
6042922|55999369||23/09/2016
6042923|65190440||16/06/2017
6042964|61430104||09/02/2017
6042997|71543996||09/11/2017
6042999|67962673||21/09/2017
6043061|66438485||26/07/2017
6043071|69883563||24/08/2017
6043074|66728289||19/06/2017
6043089|70999165||09/11/2017
6043167|52158623||25/02/2016
6043196|90003596||24/11/2017
6043216|57694274||14/11/2016
6043248|63742219||19/07/2017
6043269|60388152||20/01/2017
6043275|71896173||10/11/2017
6043292|65681095||26/06/2017
6043304|68003976||06/10/2017
6043305|68336180||19/09/2017
6043306|64983959||08/05/2017
6043307|71245985||24/10/2017
6043310|70436659||24/08/2017
6043317|63170449||22/05/2017
6043335|61474866||30/01/2017
6043336|67874757||08/08/2017
6043338|60919939||17/03/2017
6043343|58001419||15/12/2016
6043348|52180214||28/01/2016
6043369|62189893||27/01/2017
6043382|71267052||23/10/2017
6043392|90002820||13/12/2017
6043402|63183117||14/03/2017
6043403|51827526||11/02/2016
6043404|63125556||24/05/2017
6043410|57399503||22/09/2016
6043412|67706539||21/07/2017
6043413|69673603||25/09/2017
6043414|57984213||16/12/2016
6043422|66180186||26/07/2017
6043433|58622702||15/12/2016
6043440|57386097||23/01/2017
6043454|71528026||28/11/2017
6043472|69554394||21/08/2017
6043473|69225243||21/07/2017
6043474|63038318||20/04/2017
6043510|69277492||15/09/2017
6043512|57466895||19/10/2016
6043519|59553711||23/12/2016
