ID_ASUNTO_RCV|TIPO_ASUNTO|NUMERO_ACTIVO
6000000000000000|Concursal|7421114
6000000000000000|Concursal|7448063
6000000000000001|Concursal|7422430
6000000000000001|Concursal|7422437
6000000000000001|Concursal|7422426
6000000000000001|Concursal|7422431
6000000000000001|Concursal|7422434
6000000000000001|Concursal|7422433
6000000000000001|Concursal|7422438
6000000000000001|Concursal|7422436
6000000000000001|Concursal|7422432
6000000000000001|Concursal|7422435
6000000000000002|Concursal|7422735
6000000000000002|Concursal|7422733
6000000000000002|Concursal|7422734
6000000000000002|Concursal|7422731
6000000000000002|Concursal|7422736
6000000000000002|Concursal|7422732
6000000000000003|Concursal|7421549
6000000000000003|Concursal|7315197
6000000000000004|Concursal|7317047
6000000000000005|Concursal|7314913
6000000000000006|Concursal|7369281
6000000000000006|Concursal|7369280
6000000000000006|Concursal|7369274
6000000000000006|Concursal|7369279
6000000000000006|Concursal|7369282
6000000000000007|Concursal|7421978
6000000000000007|Concursal|7421977
6000000000000008|Concursal|7318867
6000000000000009|Concursal|7450484
6000000000000010|Concursal|7315208
6000000000000010|Concursal|7448217
6000000000000010|Concursal|7315209
6000000000000010|Concursal|7315204
6000000000000011|Concursal|7369355
6000000000000013|Concursal|7453674
6000000000000015|Concursal|7422521
6000000000000015|Concursal|7422522
6000000000000016|Concursal|7317861
6000000000000016|Concursal|7317860
6000000000000017|Concursal|8880346
6000000000000017|Concursal|7319893
6000000000000018|Concursal|7453445
6000000000000018|Concursal|7450666
6000000000000019|Concursal|7344401
6000000000000020|Concursal|7361075
6000000000000020|Concursal|7361073
6000000000000020|Concursal|7361074
6000000000000020|Concursal|7361072
6000000000000021|Concursal|7423003
6000000000000022|Concursal|7317813
6000000000000022|Concursal|7317815
6000000000000022|Concursal|7317838
6000000000000022|Concursal|7317812
6000000000000022|Concursal|7452861
6000000000000022|Concursal|7317842
6000000000000022|Concursal|7317918
6000000000000022|Concursal|7317956
6000000000000022|Concursal|7317942
6000000000000022|Concursal|7317798
6000000000000022|Concursal|7317795
6000000000000022|Concursal|7317810
6000000000000022|Concursal|7317840
6000000000000022|Concursal|7317800
6000000000000022|Concursal|7317817
6000000000000022|Concursal|7317826
6000000000000022|Concursal|7317807
6000000000000022|Concursal|7317809
6000000000000022|Concursal|7454044
6000000000000022|Concursal|7451170
6000000000000022|Concursal|7317823
6000000000000022|Concursal|7317959
6000000000000022|Concursal|7317960
6000000000000022|Concursal|7317965
6000000000000022|Concursal|7317907
6000000000000022|Concursal|7317919
6000000000000022|Concursal|7317901
6000000000000022|Concursal|7317914
6000000000000022|Concursal|7317966
6000000000000022|Concursal|7317912
6000000000000022|Concursal|7317923
6000000000000022|Concursal|7317963
6000000000000022|Concursal|7317847
6000000000000022|Concursal|7317811
6000000000000022|Concursal|7317824
6000000000000022|Concursal|7317827
6000000000000022|Concursal|7317796
6000000000000022|Concursal|7317818
6000000000000022|Concursal|7317834
6000000000000022|Concursal|7452508
6000000000000022|Concursal|7317854
6000000000000022|Concursal|7317833
6000000000000022|Concursal|7317843
6000000000000022|Concursal|7317805
6000000000000022|Concursal|7317905
6000000000000022|Concursal|7317913
6000000000000022|Concursal|7317930
6000000000000022|Concursal|7317902
6000000000000022|Concursal|7317948
6000000000000022|Concursal|7317950
6000000000000022|Concursal|7317928
6000000000000022|Concursal|7317939
6000000000000022|Concursal|7317936
6000000000000022|Concursal|7317944
6000000000000022|Concursal|7317917
6000000000000022|Concursal|7317938
6000000000000022|Concursal|7317957
6000000000000022|Concursal|7317958
6000000000000022|Concursal|7317808
6000000000000022|Concursal|7317835
6000000000000022|Concursal|7317804
6000000000000022|Concursal|7317814
