294516|GA|01|ACT
294517|SU|03|ACT
294518|SU|03|ACT
294519|VI|02|ACT
294520|GA|01|ACT
294521|GA|01|ACT
294522|VI|01|ACT
294523|SU|03|ACT
294524|NA|02|ACT
294525|SU|03|ACT
294526|SU|03|ACT
294527|VI|02|ACT
294528|LO|02|ACT
294529|SU|03|ACT
294530|LO|02|ACT
294531|GA|02|ACT
294532|GA|02|ACT
294533|SU|03|ACT
294534|VI|02|ACT
294535|VI|02|ACT
294536|GA|02|ACT
294537|GA|02|ACT
294538|TR|02|ACT
294539|VI|02|ACT
294540|GA|01|ACT
294541|TR|01|ACT
294542|GA|01|ACT
294543|VI|01|ACT
294544|SU|03|ACT
294545|SU|03|ACT
294546|SU|03|ACT
294547|GA|01|ACT
294548|GA|01|ACT
294549|GA|01|ACT
294550|GA|01|ACT
294551|VI|02|ACT
294552|VI|02|ACT
294553|LO|02|ACT
294554|NA|02|ACT
294555|SU|03|ACT
294556|SU|03|ACT
294557|SU|03|ACT
294558|VI|02|ACT
294559|VI|02|ACT
294560|VI|02|ACT
294561|VI|02|ACT
294562|VI|02|ACT
294563|VI|02|ACT
294564|VI|02|ACT
294565|VI|02|ACT
294566|VI|02|ACT
294567|GA|01|ACT
294568|GA|01|ACT
294569|TR|01|ACT
294570|VI|01|ACT
294571|VI|02|ACT
294572|VI|02|ACT
294573|VI|02|ACT
294574|VI|02|ACT
294575|VI|02|ACT
294576|VI|02|ACT
294577|VI|02|ACT
294578|VI|02|ACT
294579|VI|02|ACT
294580|SU|03|ACT
294581|VI|02|ACT
294582|VI|02|ACT
294583|FR|03|ACT
294584|FR|03|ACT
294585|GA|02|ACT
294586|NA|02|ACT
294587|VI|02|ACT
294588|GA|02|ACT
294589|VI|02|ACT
294590|VI|02|ACT
294591|VI|02|ACT
294592|SU|03|ACT
294593|SU|03|ACT
294594|VI|02|ACT
294595|VI|02|ACT
294596|VI|02|ACT
294597|VI|02|ACT
294598|VI|02|ACT
294599|VI|02|ACT
294600|GA|02|ACT
294601|VI|02|ACT
294602|LO|02|ACT
294603|NA|02|ACT
294604|LO|02|ACT
294605|LO|02|ACT
294606|NA|02|ACT
294607|NA|02|ACT
294608|GA|02|ACT
294609|LO|02|ACT
294610|VI|02|ACT
294611|SU|03|ACT
294612|VI|02|ACT
294613|VI|02|ACT
294614|VI|02|ACT
294615|VI|02|ACT
294616|VI|02|ACT
294617|VI|02|ACT
294618|GA|02|ACT
294619|NA|02|ACT
294620|SU|03|ACT
294621|TR|02|ACT
294622|VI|02|ACT
294623|VI|02|ACT
294624|VI|02|ACT
294625|VI|02|ACT
294626|VI|02|ACT
294627|VI|02|ACT
294628|VI|02|ACT
294629|VI|02|ACT
294630|VI|02|ACT
294631|VI|02|ACT
294632|GA|02|ACT
294633|GA|02|ACT
294634|VI|02|ACT
294635|VI|02|ACT
294636|ED|02|ACT
294637|GA|02|ACT
294638|GA|02|ACT
294639|LO|02|ACT
294640|SU|03|ACT
294641|SU|03|ACT
294642|SU|03|ACT
294643|SU|03|ACT
294644|SU|03|ACT
294645|VI|02|ACT
