6891284|258521|2018-09-06|NULL
6967613|266709|2019-04-08|NULL
6891865|258394|2019-07-10|NULL
6891041|258312|2018-06-29|NULL
6890900|258272|2017-10-01|NULL
6889812|258118|2019-06-25|NULL
6964156|264920|2019-04-25|NULL
6885659|257717|2017-12-12|NULL
6789266|109715|2018-06-14|NULL
6961809|264027|2019-01-22|NULL
6888735|257890|2019-03-06|NULL
6789270|109713|2018-06-14|NULL
6961633|263608|2018-06-11|NULL
6084260|98708|2018-05-03|NULL
6960206|263121|2018-02-12|NULL
6084267|98667|2019-02-08|NULL
6844241|257675|2019-03-06|NULL
6791760|109772|2019-10-01|NULL
6789248|109716|2018-06-14|NULL
6789302|109714|2018-06-14|NULL
6938837|257467|2016-01-11|NULL
6786838|109468|2019-07-01|NULL
6786828|109467|2019-07-01|NULL
6786901|109460|2019-07-01|NULL
6791279|109621|2014-04-05|NULL
6937774|257144|2017-09-27|NULL
6786836|109472|2019-07-01|NULL
6786812|109462|2019-07-01|NULL
6788220|109543|2018-07-05|NULL
6937787|257145|2017-09-27|NULL
6786898|109470|2019-07-01|NULL
6786831|109461|2019-07-01|NULL
6786826|109466|2019-07-01|NULL
6786857|109465|2019-07-01|NULL
6786848|109473|2019-07-01|NULL
6786906|109469|2019-07-01|NULL
6786813|109463|2019-07-01|NULL
6786881|109471|2019-07-01|NULL
6786811|109464|2019-07-01|NULL
6786868|109459|2019-07-01|NULL
6080464|97946|2016-03-23|NULL
6080463|97945|2016-03-23|NULL
6780671|109024|2018-11-16|NULL
6934674|256807|2018-05-15|NULL
6781020|108756|2017-10-07|NULL
6780650|108840|2018-04-18|NULL
6780854|108875|2018-02-08|NULL
6080638|97774|2017-06-02|NULL
6780802|108781|2019-01-10|NULL
6781206|108707|2019-03-05|NULL
6080697|97715|2016-11-28|NULL
6781008|108656|2019-06-25|NULL
6081022|97544|2017-10-24|NULL
6081021|97543|2017-10-24|NULL
6081020|97542|2014-10-24|NULL
6780748|108410|2017-01-18|NULL
6080828|97626|2014-04-15|NULL
6080776|97598|2019-09-26|NULL
6081036|97558|2016-09-14|NULL
6080977|97499|2019-05-30|NULL
6080913|97435|2016-01-25|NULL
6080928|97450|2016-02-04|NULL
6762008|108333|2019-05-17|NULL
6079327|93942|2016-04-26|NULL
6079326|93941|2016-07-13|NULL
6761321|108292|2018-12-17|NULL
6760762|108264|2019-10-17|NULL
6760247|108235|2019-04-02|NULL
6079259|93834|2016-05-16|NULL
6760160|108196|2019-10-08|NULL
6759087|108155|2018-09-06|NULL
6711294|108099|2018-02-15|NULL
6079421|93511|2017-09-25|NULL
6520191|108064|2016-06-23|NULL
6081070|97305|2018-11-23|NULL
6079898|93259|2019-05-21|NULL
6079962|93174|2015-10-13|NULL
6081176|97243|2016-04-22|NULL
6080026|93215|2016-03-15|NULL
6081142|97232|2016-07-06|NULL
6079961|93173|2016-09-28|NULL
6081355|97073|2016-04-21|NULL
6081354|97072|2016-04-21|NULL
6824608|113290|2018-03-05|NULL
6075924|92838|2016-11-15|NULL
6747180|107574|2016-11-11|NULL
6075925|92839|2016-01-22|NULL
6745202|107541|2017-05-16|NULL
6134195|103817|2012-10-01|NULL
6828737|113354|2018-06-15|NULL
6081352|97070|2016-04-21|NULL
6827943|113336|2018-01-17|NULL
6081319|97074|2016-04-21|NULL
6756421|107690|2017-02-14|NULL
6756408|107702|2018-10-23|NULL
6081347|97065|2015-09-24|NULL
6081353|97071|2016-04-21|NULL
6753436|107651|2016-04-14|NULL
6745096|107475|2016-12-21|NULL
6747179|107578|2016-11-11|NULL
6747172|107576|2016-11-11|NULL
6075895|92809|2017-12-12|NULL
6745038|107459|2017-07-11|NULL
6747170|107579|2016-11-11|NULL
6747190|107577|2016-11-11|NULL
6747173|107575|2016-11-11|NULL
6075881|92795|2017-05-31|NULL
6745118|107488|2017-10-30|NULL
6745033|107449|2017-02-03|NULL
