7020142|334059|356146|NULL|2019-09-24
7031912|345538|370773|NULL|2019-11-19
7032303|345516|370751|NULL|2019-06-14
7069034|346768|371957|NULL|2018-06-28
7018735|294276|302836|NULL|2018-11-20
7017042|294070|302745|NULL|2019-05-14
7020368|334013|356100|NULL|2019-11-07
7030078|334001|356088|NULL|2019-09-23
7020140|333961|356048|NULL|2019-09-24
6977340|270695|281861|NULL|2019-01-22
7017045|294068|302743|NULL|2019-05-14
7018750|294282|302842|NULL|2018-11-20
7018737|294278|302838|NULL|2018-11-20
6973687|270604|281779|NULL|2019-01-14
7018749|294279|302839|NULL|2018-11-20
7014575|292153|301201|NULL|2018-10-19
7018736|294280|302840|NULL|2018-11-20
7018745|294277|302837|NULL|2018-11-20
6827914|275351|285227|NULL|2015-05-13
7018753|294281|302841|NULL|2018-11-20
6973224|270529|281704|NULL|2018-02-16
7012487|290847|300365|NULL|2019-09-16
6973062|270466|281641|NULL|2018-03-05
6973095|270470|281645|NULL|2018-03-05
6973043|270461|281636|NULL|2018-03-05
6973392|270431|281606|NULL|2019-04-25
6973059|270468|281643|NULL|2018-03-05
6979127|271594|282410|NULL|2019-03-06
6973045|270458|281633|NULL|2018-03-05
7007202|273096|283344|NULL|2019-11-14
6977580|270590|281765|NULL|2018-01-25
6973081|270473|281648|NULL|2018-03-05
7008327|273801|283876|NULL|2018-10-15
7004285|271858|282635|NULL|2019-03-23
6973074|270465|281640|NULL|2018-03-05
6934188|258464|271047|NULL|2018-04-26
6973099|269626|281084|NULL|2018-06-07
6791793|109799|94873|NULL|2017-09-07
6973042|270460|281635|NULL|2018-03-05
7007838|273778|283853|NULL|2018-10-10
6973057|270467|281642|NULL|2018-03-05
6973076|270464|281639|NULL|2018-03-05
6979130|271525|282341|NULL|2018-09-19
6891930|258473|271056|NULL|2018-07-12
6973218|270530|281705|NULL|2018-05-21
6973390|270435|281610|NULL|2018-12-11
6973040|269639|281097|NULL|2018-05-22
6973070|270472|281647|NULL|2018-03-05
6973047|270469|281644|NULL|2018-03-05
6973069|270471|281646|NULL|2018-03-05
6972448|267656|279113|NULL|2019-02-27
6973041|270463|281638|NULL|2018-03-05
6965625|266363|278346|NULL|2018-11-09
6973404|270430|281605|NULL|2018-12-11
6973037|269637|281095|NULL|2018-05-22
6973408|270436|281611|NULL|2018-12-11
6891280|258527|271110|NULL|2018-04-26
6973385|270438|281613|NULL|2018-12-11
6891592|258550|270437|NULL|2019-07-10
6791799|109804|103744|NULL|2018-02-26
6791760|109772|119362|NULL|2019-10-01
6964156|264920|277143|NULL|2019-04-25
6891865|258394|270977|NULL|2019-07-10
6891582|258580|270467|NULL|2019-05-30
6972883|269498|280948|NULL|2019-09-26
6965278|266353|278336|NULL|2019-02-20
6972894|269634|281092|NULL|2013-04-10
6972863|269523|280973|NULL|2019-03-07
6965647|266370|278353|NULL|2018-03-28
6969501|267138|278935|NULL|2019-05-10
6890907|258226|270809|NULL|2018-03-23
6890896|258225|270808|NULL|2018-03-23
6961650|264041|276382|NULL|2018-10-24
6959903|262994|275424|NULL|2018-04-25
6890900|258272|270855|NULL|2018-10-01
6886826|264572|276829|NULL|2019-06-18
6965636|266325|278308|NULL|2018-11-09
6891052|258298|270881|NULL|2018-08-21
6960315|263464|275918|NULL|2018-02-09
6965619|266312|278295|NULL|2018-11-09
6958744|262800|275203|NULL|2018-11-16
6891287|258264|270847|NULL|2018-05-29
6889796|258140|270723|NULL|2017-11-28
6890893|258224|270807|NULL|2018-03-23
6960847|263842|276308|NULL|2018-01-04
6890888|258222|270805|NULL|2018-03-23
6961645|263841|276307|NULL|2018-06-09
6788654|109667|129931|NULL|2017-07-01
6890926|258221|270804|NULL|2018-03-23
6890938|258227|270810|NULL|2018-03-23
6889745|258134|270717|NULL|2015-06-22
6955913|262492|274933|NULL|2018-05-31
