6844301|122061|124478|2018-01-22|2018-07-12
6841487|122021|106640|2016-12-05|2016-11-30
6844360|122075|104215|2017-07-14|2018-01-02
6837609|121164|133724|2018-10-04|2018-04-21
6780773|121508|126105|2018-02-13|2018-02-16
6823636|120566|93581|2018-04-06|2018-04-05
6837563|121168|122167|2018-05-28|2018-04-21
6781023|120473|131926|2017-09-28|2017-09-22
6835417|121083|112490|2017-12-05|2017-12-04
6835280|121073|99049|2018-02-15|2018-02-22
6835281|121012|116627|2013-03-16|2016-05-13
6833791|120982|115306|2019-02-19|2018-04-27
6833751|120976|124991|2019-06-03|2018-04-27
6833348|120916|127579|2018-07-11|2018-06-15
6833793|120983|129433|2019-02-19|2018-04-27
6833763|120984|112296|2019-06-03|2018-04-27
6833292|120927|127194|2018-11-20|2018-05-22
6833363|120911|92728|2019-02-13|2019-01-29
6833343|120873|95496|2018-05-08|2018-04-10
6833341|120884|90947|2018-03-01|2018-02-07
6832991|120837|98861|2017-11-24|2017-11-17
6831659|120799|103710|2018-09-18|2017-02-13
6827922|120628|93258|2019-06-11|2019-05-27
6815725|120555|131938|2017-04-18|2017-09-15
7074432|355042|376797|2019-01-23|2018-12-13
7074441|355058|376813|2019-01-23|2018-12-13
7074434|355052|376807|2019-02-21|2019-01-25
7074365|355045|376800|2019-06-07|2019-06-10
7101968|412192|431634|2019-05-15|2019-11-19
7101942|412187|431629|2019-05-15|2019-11-19
7101941|412181|431623|2019-05-15|2019-11-19
7101957|412172|431614|2019-05-15|2019-11-19
7292514|426445|440988|2019-10-18|2019-10-17
7073476|354338|376128|2019-09-03|2019-08-02
7074273|354954|376729|2019-02-15|2019-03-29
7101944|412202|431644|2019-05-15|2019-11-19
7101951|412180|431622|2019-05-15|2019-11-19
7101946|412201|431643|2019-05-15|2019-11-19
7101952|412195|431637|2019-05-15|2019-11-19
7101938|412205|431647|2019-05-15|2019-11-19
7101939|412179|431621|2019-05-15|2019-11-19
7101967|412204|431646|2019-05-15|2019-11-19
7101962|412199|431641|2019-05-15|2019-11-19
7101947|412191|431633|2019-05-15|2019-11-19
7101949|412177|431619|2019-05-15|2019-11-19
7101954|412175|431617|2019-05-15|2019-11-19
7101945|412174|431616|2019-05-15|2019-11-19
7101964|412171|431613|2019-05-15|2019-11-19
7101953|412189|431631|2019-05-15|2019-11-19
