ACT_NUM_ACTIVO;IMPORTE_TAS_VIGENTE;FECHA_TAS_VIGENTE
6885493;150253.20;2019-03-13
7007885;22139.66;2019-10-31
6854064;5138.00;2018-06-30
6949503;146523.00;2019-11-30
6875640;18725.53;2019-09-16
6872396;26060.21;2019-03-29
6867303;6605.81;2019-09-06
6860592;52248.38;2018-02-26
6862248;55037.41;2018-02-26
6868713;48223.16;2017-12-16
6880671;128260.80;2019-10-05
7294240;143313.57;2019-09-02
7294259;16297.51;2018-11-15
6876353;124370.17;2019-03-21
6935140;173684.80;2019-07-05
7100982;69942.69;2019-05-17
6880405;71718.11;2017-11-17
6825937;3397.50;2019-08-15
6826657;98826.00;2019-08-15
6852867;13893.88;2019-09-16
6873331;342343.20;2018-10-24
6934894;15433.95;2016-12-30
6849120;603.14;2018-11-19
6853844;12527.76;2019-11-30
6853400;2079.00;2018-05-08
6876409;10247.76;2017-06-20
6850288;29641.68;2016-03-22
6858275;89562.98;2019-12-17
7294688;5908169.42;2018-10-09
6857519;8188.15;2019-12-17
7297126;66740.74;2019-10-11
7298167;180498.71;2019-10-18
6881580;33205.34;2019-06-12
6872754;76815.90;2019-10-31
6884478;8995.53;2017-12-18
6873889;18725.53;2019-09-16
6871915;19103.78;2019-09-16
6871660;18835.40;2019-09-16
6872749;31463.29;2019-09-16
6873105;19799.55;2019-03-29
6874044;19799.55;2019-03-29
6872314;32001.96;2019-03-29
6861550;55037.41;2018-02-26
7009999;727528.01;2019-09-30
6865073;53313.65;2016-11-30
6860106;63165.76;2019-04-01
6850540;16031.40;2019-09-16
6852806;2488.69;2019-11-13
6972204;109628.06;2019-03-25
6881961;22375.80;2017-12-31
6854032;6775.33;2018-08-20
6882261;11701.29;2019-03-23
6881877;14635.35;2018-05-01
6880521;79241.40;2018-05-01
6881376;37285.76;2018-11-22
6884578;9113.08;2019-03-28
6879650;2637.52;2019-08-14
6879566;558.57;2019-08-14
6865561;4613.22;2017-12-18
6850541;12825.12;2019-09-16
6851131;13893.88;2019-09-16
6850542;13893.88;2019-09-16
6852517;38019.44;2019-11-13
6882153;5765.76;2017-12-31
7017067;63434.09;2019-04-07
6876173;70115.78;2018-09-25
6853159;24237.50;2018-05-05
6881974;54500.53;2018-10-03
6852233;70659.53;2017-11-29
6881184;156111.08;2019-03-13
6881061;94196.51;2019-03-13
6855079;88551.14;2019-04-26
6878158;14096.26;2019-10-31
6878334;1606.98;2019-08-13
6855316;1777.69;2019-11-13
6852597;26905.43;2019-11-13
6884942;331310.20;2017-12-31
6881571;63420.59;2019-06-12
6880311;31011.67;2019-06-12
6851928;4447.00;2018-06-30
6875960;161152.66;2019-04-14
7292473;145950.00;2019-12-31
7292647;92551.35;2018-04-16
7292813;69625.41;2019-09-25
7100371;1171.28;2019-02-19
7298547;326131.52;2019-07-01
6935810;11631.32;2019-03-27
6856279;97681.37;2019-05-22
7229997;162397.76;2018-12-05
7230008;56937.00;2019-11-30
6948760;83357.17;2019-12-31
6949534;82516.44;2019-12-31
7100397;33897.25;2019-02-19
7225803;177933.21;2016-11-21
6878480;65956.34;2019-03-29
6964992;60382.95;2019-03-20
6881402;106597.45;2019-12-31
6851497;73840.00;2019-11-30
6883439;93398.41;2018-10-03
6878409;40683.04;2017-12-20
7294236;143344.21;2019-10-17
6949745;1550.00;2019-04-01
7298810;262483.65;2019-12-10
6858352;96509.90;2016-12-30
6872958;63781.67;2019-03-20
6880203;75704.04;2017-11-17
6872562;671822.93;2019-09-16
6852349;262969.64;2018-11-06
6853510;2062.52;2018-11-27
6853472;22897.97;2018-11-27
6853112;24853.42;2018-11-27
6875748;81219.50;2019-09-30
6876696;62024.00;2019-11-30
6876377;87080.53;2019-03-28
6853981;100461.36;2017-01-09
6882376;74250.00;2016-10-24
6851354;70659.53;2017-11-29
6876936;83684.37;2019-03-13
6877170;2310.85;2018-10-24
6877001;12129.34;2019-10-31
6878160;40161.07;2019-08-07
6881292;40683.04;2017-12-20
6852317;2481.96;2019-11-13
6881476;63420.59;2019-06-12
6880310;63420.59;2019-06-12
6880911;68180.97;2017-12-04
6873067;265342.63;2017-11-24
6875637;18769.86;2019-09-16
6874166;22693.48;2019-09-16
6855184;4334.60;2019-10-16
6855501;55277.40;2019-10-16
6879463;7765.85;2019-04-13
6857911;5147.40;2019-07-03
6855721;5851.34;2019-07-03
6857058;7893.56;2019-07-03
6858868;95811.56;2019-12-17
6857053;141785.58;2019-11-04
6857315;92236.79;2016-12-30
6857970;80769.95;2016-12-30
6857973;85649.27;2016-12-30
7005292;33623.82;2019-10-31
6870406;48467.11;2017-11-29
6871367;60735.19;2017-11-29
6871096;45917.77;2017-11-29
6871098;46401.52;2017-11-29
6871517;58794.84;2019-11-30
6964649;7743.00;2018-03-15
6826730;107679.00;2019-08-15
6869710;82023.19;2018-01-02
6876254;10831.72;2019-11-30
6860797;52575.95;2019-04-06
6865683;1500.00;2016-12-22
6851736;101157.70;2018-01-17
6851337;7226.92;2017-11-29
6855506;57916.06;2019-10-16
6826357;3285.00;2019-08-15
6867889;40684.91;2017-12-16
6871011;17417.63;2019-04-12
6871108;81611.62;2019-05-25
6850966;121546.39;2017-12-04
6876267;38731.85;2017-11-12
6858082;9966.33;2019-05-14
6858085;78069.60;2019-05-14
7009892;4290.03;2018-10-24
7229349;145816.21;2019-05-27
7101174;61876.46;2019-05-24
6855497;4334.60;2019-10-16
6856048;1950.57;2019-10-16
6873732;146042.20;2015-09-07
6857912;5147.40;2019-07-03
6854736;55011.97;2019-07-03
6853292;39626.44;2018-09-06
6853370;33101.50;2018-05-05
6853522;162567.80;2017-11-29
6848644;6753.75;2018-01-17
6861201;2715.25;2019-09-20
7100323;175876.74;2019-03-27
7032195;121590.00;2018-11-14
7293383;268865.55;2019-08-25
7294029;7180.00;2019-12-05
7294030;6980.00;2019-12-05
6869265;6273.53;2017-11-29
6870101;17619.72;2019-04-15
6964970;60560.14;2019-03-20
6863286;2632.35;2019-07-04
7295410;32129.08;2018-12-03
7295405;58770.08;2018-12-03
7295389;105538.00;2019-12-31
7295407;171088.28;2019-06-05
6879206;476075.37;2019-08-14
6853408;168940.24;2018-03-28
6852139;459736.62;2019-09-16
7224505;4968.83;2019-06-12
7297744;148819.29;2019-12-16
6853846;97054.21;2018-05-08
6857703;82595.59;2019-12-17
6870408;69854.78;2017-11-29
6871357;50500.46;2017-11-29
6872607;58794.84;2019-11-30
6869261;6273.53;2017-11-29
6826334;2767.50;2019-08-15
6856846;113783.42;2018-01-04
6866689;3500.00;2016-12-22
6850922;100102.20;2018-01-17
6870655;32375.94;2019-05-15
6855194;1950.57;2019-10-16
6869392;66533.91;2017-11-29
6871141;81611.62;2019-05-25
6876258;5883.47;2017-11-12
6876505;40201.56;2017-11-12
6859225;26541.20;2016-10-03
6877323;29766.85;2019-11-07
6877325;16632.20;2019-11-07
6877690;20255.55;2019-11-07
6883619;5777.58;2016-12-15
6883163;6465.07;2016-12-15
6871531;47959.97;2017-11-29
6882699;51350.66;2019-04-09
6853853;6851.52;2019-05-22
7009930;4247.96;2018-10-24
6882260;11769.24;2019-03-23
6881486;74426.45;2016-11-16
6880711;5556.96;2019-05-14
6871539;47136.59;2017-11-29
6934927;14106.08;2016-12-30
6848341;122762.72;2018-01-17
6869040;28690.19;2019-05-15
6871410;26523.71;2019-05-15
6858316;31987.80;2019-04-14
6851321;7226.92;2017-11-29
6854470;9795.20;2017-11-29
6877969;10247.76;2017-06-20
6876672;2300.18;2017-06-20
6851346;3346.76;2017-11-29
6878668;79829.85;2017-06-20
6878425;79829.85;2017-06-20
6825277;2976.64;2019-03-29
6877737;952851.33;2019-09-17
6853407;68178.76;2018-05-08
6851244;122762.72;2018-01-17
6850928;1536.00;2018-06-30
7072931;8256.60;2019-03-25
7292439;114082.10;2019-09-13
6880800;2711.00;2018-06-30
6862815;5491.64;2016-12-30
6863184;6388.92;2016-12-30
6862830;5796.55;2016-12-30
6865131;66944.44;2016-12-30
6865878;45358.35;2017-11-22
6867015;24493.95;2019-03-13
6864530;24493.95;2019-03-13
6853463;39626.44;2018-09-06
6855844;16412.54;2018-11-27
6853312;24237.50;2018-05-05
6870002;1279760.51;2019-05-27
6863887;77734.04;2017-12-18
6868464;78685.34;2017-12-29
6871014;81611.62;2019-05-25
6867094;2500.00;2016-12-22
6870658;26525.50;2019-05-15
6870240;268050.00;2017-01-25
6866558;30864.06;2019-05-22
6866213;30385.71;2019-05-22
6826456;7757.00;2016-11-25
7293336;4724.57;2019-10-25
7100537;63014.80;2018-05-19
6935712;170071.05;2019-04-08
7100544;90839.08;2018-05-19
7100539;159373.24;2019-01-30
7029281;69391.65;2018-09-07
7072803;110422.03;2018-06-27
7072311;5350.07;2018-04-24
7032016;75613.60;2017-10-27
7299491;93919.81;2019-06-25
7294268;15813.67;2018-11-15
7294238;16297.51;2018-11-15
6879414;54391.75;2018-10-03
6855036;53022.64;2019-07-03
7294106;200395.39;2019-10-22
7294108;156856.18;2019-03-04
7294695;153869.32;2018-03-14
6853074;140261.75;2019-08-25
6880682;35106.19;2017-11-22
7294864;268403.13;2018-11-26
6859960;32219.20;2019-05-14
7292811;280020.36;2019-07-18
7295399;258548.59;2019-10-20
7295393;2611636.30;2019-11-18
7295414;640394.46;2018-01-29
7297157;695254.96;2011-07-13
7297149;197006.25;2019-02-18
6869275;49108.42;2019-11-30
7224148;73920.84;2019-08-16
6871552;26523.71;2019-05-15
6869766;300062.09;2019-10-31
6949448;9600.00;2018-03-27
6885171;42620.29;2017-06-30
6871131;66303.20;2017-01-05
7292808;233243.00;2019-10-01
7292755;672.59;2019-03-08
6880355;21025.00;2018-06-30
6853978;129820.13;2017-01-09
7295002;156111.08;2019-03-13
7294827;38120.00;2019-12-31
7294681;231385.00;2018-04-24
6855771;4272.00;2019-12-17
7297131;73398.08;2019-12-02
7297127;79830.72;2019-11-27
7298180;30002.11;2018-11-16
7298187;49956.80;2017-06-07
7298193;110430.60;2019-10-15
6853243;426897.00;2018-11-23
6882597;10813.89;2018-05-03
7299358;140041.71;2019-06-17
6866067;2951.91;2019-04-09
6857314;49470.96;2019-11-04
6871635;48120.96;2017-11-29
6868368;47456.20;2017-11-29
6869269;47388.37;2017-11-29
6868693;48864.18;2019-09-10
6869082;61964.19;2019-10-04
6869836;58584.40;2019-09-19
6872429;71080.00;2017-10-23
6852308;16031.40;2019-09-16
6853356;16031.40;2019-09-16
6883743;116713.52;2019-08-23
6883820;150768.86;2019-03-15
6876580;9222.12;2019-03-15
6878093;8163.62;2019-04-08
6876093;97032.71;2019-10-24
6877338;66769.00;2019-10-31
6876529;43599.73;2019-05-14
6881384;56676.20;2018-10-03
7011871;123668.50;2018-09-11
6876697;160366.20;2013-10-29
6876702;170058.77;2018-05-18
6879386;59574.86;2017-11-23
6867300;262094.95;2017-12-29
6878768;51896.71;2017-11-23
6855825;29681.42;2019-04-30
6935665;177372.60;2019-10-31
7010091;220000.00;2019-11-30
6852707;65225.81;2019-09-04
6857111;61396.02;2019-12-09
6852711;12825.12;2019-09-16
6851626;14494.75;2019-12-17
6879562;2207.64;2019-08-14
6879207;787.92;2019-08-14
6879208;779.78;2019-08-14
6849361;120339.36;2018-10-26
6935790;70910.64;2018-09-15
6877331;10247.76;2017-06-20
6877601;1725.14;2017-06-20
6857047;8676.84;2019-04-10
6857145;18590.94;2019-10-03
6859492;4989.60;2019-04-29
6856870;2275.16;2018-03-28
6854883;77860.65;2018-03-28
6854590;58407.10;2018-03-28
6854884;76965.70;2018-03-28
6855535;10983.14;2019-11-04
6857821;5340.00;2019-12-17
6856930;5701.06;2019-05-10
6857788;16420.20;2018-10-26
