Mapeo Clase-Activo|
Cód. Activo|Clase
000001-01|
047239|00003900
047287|00003900
047298|00003900
047315|00003900
047446|00003900
047488|00003900
047525|00003900
047536|00003900
047558|00003900
047619|00003900
047625|00003900
047637|00003900
047641|00003900
047742|00003900
047763|00003900
047843|00003900
047889|00003900
047890|00003900
047891|00003900
047892|00003900
047910|00003900
047928|00003900
048025|00003900
048126|00003900
048155|00003900
048206|00003900
048329|00003900
048343|00003900
048471|00003900
048484|00003900
048601|00003900
048674|00003900
048707|00003900
048718|00003900
048833|00003900
048935|00003900
048937|00003900
048955|00003900
048956|00003900
049102|00003900
049138|00003900
049278|00003900
049289|00003900
049386|00003900
049387|00003900
049388|00003900
049390|00003900
049437|00003900
049461|00003900
049484|00003900
049487|00003900
049499|00003900
049544|00003900
049547|00003900
049549|00003900
049551|00003900
049552|00003900
049553|00003900
049554|00003900
049555|00003900
049557|00003900
049586|00003900
049642|00003900
049664|00003900
049666|00003900
049667|00003900
049723|00003900
049792|00003900
049811|00003900
049815|00003900
049825|00003900
049894|00003300
049918|00003300
049979|00003900
049993|00003900
050001-01|00003900
050023-01|00003900
050064|00003900
050090|00003900
050093|00003900
050094|00003900
050108|00003900
050134|00003900
050148|00003900
050202|00003900
050254|00003900
050318|00003900
050376|00003900
050385|00003900
050525|00003900
050560|00003900
050571|00003900
050598|00003900
050648|00003900
050649|00003900
050653|00003900
050681|00003900
050740|00003900
050741|00003900
050753|00003900
050800|00003900
050801|00003900
050802|00003900
050810|00003900
050813|00003900
050814|00003900
050818|00003900
050837|00003900
050845|00003900
050926|00003900
050927|00003900
050996|00003900
050998|00003900
050999|00003900
051005|00003900
051006|00003900
051011|00003900
051013|00003900
051016|00003900
051039|00003900
051094|00003900
051107-01|00003900
051128|00003900
051144|00003900
051155|00003900
051189|00003900
051217|00003900
051223|00003900
051224|00003900
051232|00003900
051242|00003900
051243|00003900
051244|00003900
051248|
051295|00003900
051296|00003900
051301|00003900
051337|00003900
051347|00003300
051349|00003900
051354|00003900
051375|00003900
051377|00003900
05138D|00080000
051391|00003900
051395|00003900
05139X|00080000
051453|00003900
051507|00003900
051517|00003900
051564|00003900
051565|00003900
051568|00003900
051572|00003900
051684|00003900
051685|00003900
051686|00003900
051742|00003900
051743|00003900
051943|00003900
051961|00003900
052024|00003900
052048|00003300
052074|00003900
052076|00003900
052084|00003900
052085|00003900
052095|00003900
052096|00003900
052119|00003900
052140|00003900
052189|00003900
052204|00003900
052205|00003900
052207|00003900
052208|00003900
052209|00003900
052210|00003900
052211|00003900
052216|00003900
052217|00003900
052235|00003900
052255|00003900
052261|00003900
052267|00003900
052358|00003900
052416|00003300
052499|00003900
052560|00003900
052569|00003900
052698|00003900
052712|00003900
052719|00003900
052750|00003900
052788|00003900
052789|00003900
052790|00003900
052811|00003900
052882|00003900
