+0000000006127050                  11+00000000061270500000000000000000
+0000000006127051                  11+00000000061270510000000000000000
+0000000006125555                  11+00000000061255550000000000000000
+0000000006125558                  11+00000000061255580000000000000000
+0000000006127057                  11+00000000061270570000000000000000
+0000000006125652                  11+00000000061256520000000000000000
+0000000006125654                  11+00000000061256540000000000000000
+0000000000944642                  11+00000000009446420000000000000000
+0000000000939074                  11+00000000009390740000000000000000
+0000000000940267                  11+00000000009402670000000000000000
+0000000000943658                  11+00000000009436580000000000000000
+0000000000944101                  11+00000000009441010000000000000000
+0000000000936139                  11+00000000009361390000000000000000
+0000000000933676                  11+00000000009336760000000000000000
+0000000000944632                  11+00000000009446320000000000000000
+0000000000941094                  11+00000000009410940000000000000000
+0000000000937430                  11+00000000009374300000000000000000
+0000000000934170                  11+00000000009341700000000000000000
+0000000000945307                  11+00000000009453070000000000000000
+0000000000944807                  11+00000000009448070000000000000000
+0000000000937474                  11+00000000009374740000000000000000
+0000000000939006                  11+00000000009390060000000000000000
+0000000000934861                  11+00000000009348610000000000000000
+0000000000938454                  11+00000000009384540000000000000000
+0000000000934434                  11+00000000009344340000000000000000
+0000000000203228                  11+00000000002032280000000000000000
+0000000006126168                  11+00000000061261680000000000000000
+0000000006126183                  11+00000000061261830000000000000000
+0000000006126407                  11+00000000061264070000000000000000
+0000000006126245                  11+00000000061262450000000000000000
+0000000006126277                  11+00000000061262770000000000000000
+0000000006126295                  11+00000000061262950000000000000000
+0000000006126297                  11+00000000061262970000000000000000
+0000000006126298                  11+00000000061262980000000000000000
+0000000006127178                  11+00000000061271780000000000000000
+0000000006126578                  11+00000000061265780000000000000000
+0000000006126579                  11+00000000061265790000000000000000
+0000000006126609                  11+00000000061266090000000000000000
+0000000006126646                  11+00000000061266460000000000000000
+0000000006127231                  11+00000000061272310000000000000000
+0000000006127232                  11+00000000061272320000000000000000
+0000000006126756                  11+00000000061267560000000000000000
+0000000006126758                  11+00000000061267580000000000000000
+0000000006126759                  11+00000000061267590000000000000000
+0000000006125660                  11+00000000061256600000000000000000
+0000000006125661                  11+00000000061256610000000000000000
+0000000006125674                  11+00000000061256740000000000000000
+0000000006125691                  11+00000000061256910000000000000000
+0000000006126786                  11+00000000061267860000000000000000
+0000000006126787                  11+00000000061267870000000000000000
+0000000006126788                  11+00000000061267880000000000000000
+0000000006126789                  11+00000000061267890000000000000000
+0000000006125693                  11+00000000061256930000000000000000
+0000000006126356                  11+00000000061263560000000000000000
+0000000006126357                  11+00000000061263570000000000000000
+0000000006127316                  11+00000000061273160000000000000000
+0000000006125769                  11+00000000061257690000000000000000
+0000000006125770                  11+00000000061257700000000000000000
+0000000006125771                  11+00000000061257710000000000000000
+0000000006125772                  11+00000000061257720000000000000000
+0000000006125819                  11+00000000061258190000000000000000
+0000000006127345                  11+00000000061273450000000000000000
