+0000000006119322                              0693316FS0709S0023FR                                                                                                                                                                                                                                                                                                                                                         SAREB+0000000000000000+0000000000000000+0000000000000000+0000000000000000+0000000000000000+0000000001536006+000000000000000019930519
+0000000006121005                              2537103UF7623N0029LI                                                                                                                                                                                                                                                                                                                                                BANKIA HABITAT+0000000000000000+0000000000000000+0000000000000000+0000000000000000+0000000000000000+0000000018380668+000000001001038520080630
+0000000006120208                              6807602UL5060N0001MP                                                                                                                                                                                                                                                                                                                                                    CAJA AVILA+0000000000000000+0000000000000000+0000000000000000+0000000000000000+0000000000000000+0000000047899950+000000004789995020090616
+0000000006119212                              0984401DS5008S0012OQ                                                                                                                                                                                                                                                                                                                          EDIFICIOS SINGULARES DE CANARIAS, SA+0000000000000000+0000000000000000+0000000000000000+0000000000000000+0000000000000000+0000000007524239+000000000180092119950628
+0000000000111043                              0024008YH9155N0016FP                                                                                                                                                                                                                                                                                                                                                              +0000000000000000+0000000000000000+0000000000000000+0000000000000000+0000000000000000+0000000000000000+000000000000000000000000
+0000000000201945                              4542103XH6044S0113XS                                                                                                                                                                                                                                                                                                                                                              +0000000000000000+0000000000000000+0000000000000000+0000000000000000+0000000000000000+0000000000000000+000000000000000000000000
+0000000006120619                              6686006TG3368N0367GF                                                                                                                                                                                                                                                                                                                                                         SAREB+0000000000000000+0000000000000000+0000000000000000+0000000000000000+0000000000000000+0000000005048221+000000000159653320120101
+0000000000202014                              4542103XH6044S0033PM                                                                                                                                                                                                                                                                                                                                                              +0000000000000000+0000000000000000+0000000000000000+0000000000000000+0000000000000000+0000000000000000+000000000000000000000000
+0000000000202037                              4542103XH6044S0020MD                                                                                                                                                                                                                                                                                                                                                              +0000000000000000+0000000000000000+0000000000000000+0000000000000000+0000000000000000+0000000000000000+000000000000000000000000
+0000000000201841                              4542103XH6044S0052MD                                                                                                                                                                                                                                                                                                                                                              +0000000000000000+0000000000000000+0000000000000000+0000000000000000+0000000000000000+0000000000000000+000000000000000000000000
+0000000000202019                              4542103XH6044S0049MD                                                                                                                                                                                                                                                                                                                                                              +0000000000000000+0000000000000000+0000000000000000+0000000000000000+0000000000000000+0000000000000000+000000000000000000000000
+0000000000201952                              4542103XH6044S0059UB                                                                                                                                                                                                                                                                                                                                                              +0000000000000000+0000000000000000+0000000000000000+0000000000000000+0000000000000000+0000000000000000+000000000000000000000000
+0000000006120403                              4369349WJ9446N0001IU                                                                                                                                                                                                                                                                                                                                                              +0000000000000000+0000000000000000+0000000000000000+0000000000000000+0000000000000000+0000000000000000+000000000000000000000000
+0000000006119219                              4369349WJ9446N0001IU                                                                                                                                                                                                                                                                                                                                                              +0000000000000000+0000000000000000+0000000000000000+0000000000000000+0000000000000000+0000000000000000+000000000000000000000000
+0000000006120860                              4369349WJ9446N0001IU                                                                                                                                                                                                                                                                                                                                                              +0000000000000000+0000000000000000+0000000000000000+0000000000000000+0000000000000000+0000000000000000+000000000000000000000000
+0000000006119223                              4369349WJ9446N0001IU                                                                                                                                                                                                                                                                                                                                                              +0000000000000000+0000000000000000+0000000000000000+0000000000000000+0000000000000000+0000000000000000+000000000000000000000000
+0000000006119063                              1999616UF0219N0001YE                                                                                                                                                                                                                                                                                                                                  C. DE AHORROS Y M. DE PIEDAD+0000000000000000+0000000000000000+0000000000000000+0000000000000000+0000000000000000+0000000009175760+000000000917576020120101
