OFR_NUM_OFERTA;OFR_ID;eco_fecha_cont_propietario
13114;381894;2018-03-31 00:00:00.0000000
90236631;532115;2019-12-01 00:00:00.0000000
90120331;413001;2018-11-30 00:00:00.0000000
90117507;410172;2018-11-30 00:00:00.0000000
90135547;428273;2018-12-28 00:00:00.0000000
90218398;512752;2019-11-26 00:00:00.0000000
90243647;539326;2020-02-28 00:00:00.0000000
10835;383290;2017-12-29 00:00:00.0000000
90215996;510274;2019-10-30 00:00:00.0000000
13137;381874;2018-06-12 00:00:00.0000000
90234963;530282;2019-12-20 00:00:00.0000000
90235883;531292;2019-12-30 00:00:00.0000000
14517;380748;2018-08-17 00:00:00.0000000
15194;380176;2018-12-10 00:00:00.0000000
90131697;424413;2018-12-13 00:00:00.0000000
13614;381507;2018-06-13 00:00:00.0000000
11150;383161;2017-12-29 00:00:00.0000000
13354;381703;2018-06-07 00:00:00.0000000
90190682;483858;2019-11-28 00:00:00.0000000
90217033;511349;2019-09-25 00:00:00.0000000
90211751;505875;2019-09-13 00:00:00.0000000
90145928;438650;2019-02-06 00:00:00.0000000
90218355;512709;2019-09-30 00:00:00.0000000
10186;383530;2017-10-25 00:00:00.0000000
14714;380573;2018-07-17 00:00:00.0000000
14924;380409;2018-11-23 00:00:00.0000000
90219372;513740;2019-10-29 00:00:00.0000000
90236787;532271;2019-12-30 00:00:00.0000000
90138753;431477;2019-02-08 00:00:00.0000000
90148536;441283;2019-02-14 00:00:00.0000000
90100972;393535;2018-09-28 00:00:00.0000000
90193534;486956;2019-08-13 00:00:00.0000000
9510;383723;2017-09-29 00:00:00.0000000
90231365;526365;2019-12-10 00:00:00.0000000
90197054;490648;2019-06-28 00:00:00.0000000
90101728;394291;2018-10-31 00:00:00.0000000
90107847;400479;2018-12-17 00:00:00.0000000
90101347;393910;2018-09-30 00:00:00.0000000
90232604;527744;2020-02-04 00:00:00.0000000
90207060;500974;2019-09-26 00:00:00.0000000
90231502;526502;2020-01-09 00:00:00.0000000
90225710;520216;2019-12-31 00:00:00.0000000
90229618;524390;2020-02-26 00:00:00.0000000
90214572;508836;2019-11-15 00:00:00.0000000
90227785;522366;2020-02-20 00:00:00.0000000
90210380;504433;2019-10-17 00:00:00.0000000
90218454;512808;2019-10-28 00:00:00.0000000
90225065;519537;2019-12-05 00:00:00.0000000
90223679;518132;2019-12-31 00:00:00.0000000
90237672;533190;2020-02-25 00:00:00.0000000
90216897;511213;2019-12-18 00:00:00.0000000
90217767;512098;2019-10-29 00:00:00.0000000
90233279;528498;2020-01-31 00:00:00.0000000
90220857;515254;2019-11-28 00:00:00.0000000
90232081;527179;2020-01-13 00:00:00.0000000
90201629;495378;2019-08-20 00:00:00.0000000
90223711;518164;2019-11-15 00:00:00.0000000
90233072;528288;2020-03-05 00:00:00.0000000
90232944;528146;2019-12-31 00:00:00.0000000
90215711;509989;2019-12-18 00:00:00.0000000
90229882;524709;2019-12-23 00:00:00.0000000
90222431;516857;2020-01-30 00:00:00.0000000
90206205;500062;2019-10-14 00:00:00.0000000
90232331;527435;2019-12-31 00:00:00.0000000
90240111;535693;2020-03-13 00:00:00.0000000
90215121;509387;2019-11-11 00:00:00.0000000
90236189;531636;2020-02-28 00:00:00.0000000
90221822;516233;2019-11-14 00:00:00.0000000
90210246;504285;2019-09-30 00:00:00.0000000
90216345;510636;2019-12-31 00:00:00.0000000
90240784;536385;2020-03-03 00:00:00.0000000
90220950;515347;2019-11-07 00:00:00.0000000
90232083;527181;2020-01-29 00:00:00.0000000
90206529;500397;2019-12-18 00:00:00.0000000
90217513;511844;2019-10-28 00:00:00.0000000
90236899;532383;2020-03-02 00:00:00.0000000
90230540;525440;2020-02-14 00:00:00.0000000
90208543;502526;2019-10-09 00:00:00.0000000
