Num. Activo Haya;Fecha Recepción Plusvalía;F. pago / presentación plusvalía;F. presentación de recurso;F. respuesta de recurso;Apertura de expediente de recurso extrajudicial y seguimiento del mismo;Importe pagado plusvalía;Gasto asociado;Minusvalía;Exento;Autoliquidación
5957339;31/12/1899;25/11/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6993380;31/12/1899;25/11/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6999967;31/12/1899;20/11/2019;31/12/1899;31/12/1899;N;8,36;;S;N;N
6997893;31/12/1899;03/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
5969599;31/12/1899;02/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6998017;31/12/1899;03/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6998171;31/12/1899;02/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
5929470;31/12/1899;02/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6934262;31/12/1899;02/12/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6960228;31/12/1899;13/11/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6993813;31/12/1899;02/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6993889;31/12/1899;02/12/2019;31/12/1899;31/12/1899;N;54,88;;S;N;N
6993891;31/12/1899;02/12/2019;31/12/1899;31/12/1899;N;963,32;;S;N;N
6994980;31/12/1899;02/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6995933;31/12/1899;02/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6998857;31/12/1899;02/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6997022;31/12/1899;27/11/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6997023;31/12/1899;27/11/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6997668;31/12/1899;03/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6999953;31/12/1899;20/11/2019;31/12/1899;31/12/1899;N;8,36;;S;N;N
6999982;31/12/1899;21/11/2019;31/12/1899;31/12/1899;N;0;;S;N;N
7000010;31/12/1899;20/11/2019;31/12/1899;31/12/1899;N;2,29;;S;N;N
7000038;31/12/1899;21/11/2019;31/12/1899;31/12/1899;N;0;;S;N;N
7000090;31/12/1899;20/11/2019;31/12/1899;31/12/1899;N;344,9;;S;N;N
7000094;31/12/1899;21/11/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6934252;31/12/1899;08/01/2020;31/12/1899;31/12/1899;N;0;;S;N;N
6993413;31/12/1899;03/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6995957;31/12/1899;03/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6350966;31/12/1899;03/12/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6989055;31/12/1899;03/12/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6991560;31/12/1899;03/12/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6993363;31/12/1899;03/12/2019;31/12/1899;31/12/1899;N;295,44;;N;N;N
6996163;31/12/1899;03/12/2019;31/12/1899;31/12/1899;N;70,98;;N;N;N
6997203;31/12/1899;07/11/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6991976;31/12/1899;07/01/2020;31/12/1899;31/12/1899;N;0;;S;N;N
6995415;31/12/1899;07/01/2020;31/12/1899;31/12/1899;N;0;;S;N;N
5936520;31/12/1899;08/01/2020;31/12/1899;31/12/1899;N;0;;S;N;N
6966387;31/12/1899;08/01/2020;31/12/1899;31/12/1899;N;0;;S;N;N
6987943;31/12/1899;07/01/2020;31/12/1899;31/12/1899;N;0;;S;N;N
6993877;31/12/1899;08/01/2020;31/12/1899;31/12/1899;N;0;;S;N;N
6993888;31/12/1899;08/01/2020;31/12/1899;31/12/1899;N;0;;S;N;N
6997126;31/12/1899;07/01/2020;31/12/1899;31/12/1899;N;0;;S;N;N
6997171;31/12/1899;07/01/2020;31/12/1899;31/12/1899;N;0;;N;N;N
5929374;31/12/1899;18/12/2019;31/12/1899;31/12/1899;N;342,14;;S;N;N
5935115;31/12/1899;18/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6057488;31/12/1899;18/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6344478;31/12/1899;18/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6999343;31/12/1899;18/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6991874;31/12/1899;02/01/2020;31/12/1899;31/12/1899;N;0;;N;N;N
6991875;31/12/1899;02/01/2020;31/12/1899;31/12/1899;N;0;;N;N;N
