ORDEN;INTERFAZ;NOMBRE_CAMPO;TIPO_CAMPO;REQUERIDO;REQUERIDO_BOL;COMENTARIO
1;ACTIVO_PLANDINVENTAS;ACT_NUMERO_ACTIVO;NUMBER(16,0);SI;;Este código lo suministrará equipo HRE como identificador único de cualquier activo
2;ACTIVO_PLANDINVENTAS;PDV_ACREEDOR_NOMBRE;VARCHAR2(100 CHAR);SI;;
3;ACTIVO_PLANDINVENTAS;PDV_ACREEDOR_CODIGO;NUMBER(16,0);SI;;
4;ACTIVO_PLANDINVENTAS;PDV_ACREEDOR_NIF;VARCHAR2(20 CHAR);SI;;
5;ACTIVO_PLANDINVENTAS;PDV_ACREEDOR_DIR;VARCHAR2(200 CHAR);SI;;
6;ACTIVO_PLANDINVENTAS;PDV_IMPORTE_DEUDA;NUMBER(16,2);SI;;Es el importe de la deuda bruta
7;ACTIVO_PLANDINVENTAS;PDV_ACREEDOR_NUM_EXP;VARCHAR2(20 CHAR);SI;;
8;ACTIVO_PLANDINVENTAS;PDV_TIPO_PRODUCTO_ACTIVO;VARCHAR2(20 CHAR);NO;;
