ACT_NUM_ACTIVO|ACT_NUM_ACTIVO_CAIXA|ACT_NUM_ACTIVO_UVEM
5926401|89038916|8395537
5926404|89055780|18568725
5926408|89036894|5433808
5926411|89061375|20541951
5926414|89037908|22611181
5926416|89039135|8720816
5926434|89044255|12180862
5926444|89036388|72680
5926447|89043800|12047819
5926449|89037689|22134116
5926455|89052875|16069448
5926456|89056448|18860274
5926457|89058286|19606586
5926463|89053638|16492781
5926470|89044659|12374660
5926482|89037182|6126328
5926488|89037135|6020194
5926503|89037327|6441314
5926505|89036568|4125126
5926506|89037920|22614889
5926508|89036950|5581091
5926509|89036885|5411652
5926511|89056712|19084539
5926519|89047403|13647274
5926526|89038463|22768166
5926528|89042941|11670711
5926530|89055022|17902483
5926541|89037225|6229105
5926544|89036973|5620952
5926546|89063321|21403494
5926553|89042980|11694205
5926559|89040075|9774674
5926562|89051354|15576020
5926576|89037196|6156439
5926577|89037216|6205728
5926585|89045369|12581164
5926586|89064282|21831306
5926592|89063580|21536031
5926607|89043599|11988629
5926613|89037168|6100992
5926622|89037755|6820180
5926626|89052076|15790539
5926627|89037820|6876581
5926628|89036839|5293615
5926632|89061786|20686226
5926634|89036694|4746526
5926638|89063065|21272555
5926644|89056424|18851038
5926646|89038261|22709945
5926648|89040759|10184589
5926656|89048717|14859095
5926658|89036596|4231901
5926659|89036627|4382910
5926663|89052091|15798222
5926665|89036990|5643282
5926671|89052335|15874751
5926675|89058750|19744090
5926678|89041998|10967501
5926683|89048311|14615124
5926692|89048393|14699929
5926714|89056426|18851758
5926716|89044700|12395769
5926726|89037372|6524731
5926728|89038450|7689222
5926731|89048562|14749527
5926733|89056046|18627793
5926749|89058265|19600376
5926756|89057059|19185726
5926757|89060818|20369281
5926772|89039079|22988913
5926778|89061665|20658056
5926782|89041098|10376932
5926783|89064052|21747992
5926794|89036640|4418989
5926798|89038057|22657785
5926802|89057936|19509551
5926804|89059792|20048454
5926819|89062081|20780642
5926821|89037475|6648500
5926825|89037278|6317372
5926834|89037428|6587338
5926855|89045702|12888022
5926862|89038801|22893371
5926870|89037923|22615567
5926871|89039619|9312752
5926878|89038219|22697342
5926891|89056579|18976673
5926895|89041509|10632122
5926897|89051856|15709872
5926903|89063882|21661956
5926904|89037019|5708695
5926913|89041828|10828950
5926935|89036719|4921194
5926937|89041361|10562795
5926959|89037086|5885933
5926987|89041310|10523934
5926991|89061378|20542980
5927007|89059720|20011572
5927009|89038298|7502477
5927034|89042413|11216571
5927038|89041167|10423290
5927043|89037294|6363897
5927045|89040665|10131779
5927047|89057317|19291763
5927051|89040485|10064369
5927057|89037584|6723865
5927064|89037346|6484930
5927067|89064595|21991200
5927079|89052928|16192577
5927081|89059755|20022047
5927082|89040418|10025508
5927118|89058925|19801586
5927123|89061304|20517195
5927126|89041462|10611616
5927127|89042637|11516658
5927144|89051895|15734820
5927145|89053892|16572256
5927146|89041505|10631210
5927161|89047466|13668869
5927162|89061550|20611629
5927170|89043187|11772558
5927172|89060984|20428484
5927174|89037102|5943252
5927178|89043730|12027505
5927180|89045347|12573074
5927184|89045893|12936516
5927187|89056542|18942662
5927191|89047523|13760138
5927195|89042374|11180591
5927196|89037974|6916985
5927207|89037952|22626879
5927209|89040583|10103141
5927214|89060474|20281421
5927215|89039851|24020317
5927229|89043654|12005835
5927230|89044191|12159463
5927235|89040561|10099427
5927256|89056591|19018285
5927259|89040548|10097837
5927265|89039679|9465603
5927269|89045884|12933411
5927272|89037395|6552901
5927273|89037826|6880285
5927277|89036444|3644876
5927290|89037976|22630952
5927291|89045025|12490980
5927293|89052801|16039454
5927295|89038273|7478566
5927302|89057178|19242133
5927314|89043371|11917329
5927315|89051280|15531282
5927321|89037515|6690270
5927330|89038455|22767020
5927331|89044154|12150634
5927332|89047014|13443076
5927342|89056733|19087878
5927351|89053955|16593248
5927353|89060238|20168674
5927358|89047362|13626165
5927364|89057693|19387614
5927368|89051543|15660153
5927389|89039535|9241793
5927395|89053932|16584012
5927397|89046889|13403888
5927398|89063982|21728590
5927400|89056627|19056972
5927405|89045653|12739809
5927408|89052241|15860820
5927409|89056599|19052235
5927413|89048387|14699074
5927415|89057762|19420392
5927417|89036521|3892821
5927420|89041024|10347247
5927424|89036658|4533929
5927428|89042293|11153234
5927437|89064493|21943805
5927445|89054662|17677245
5927450|89049046|15026416
5927456|89037357|6504048
5927461|89041413|10590245
5927470|89037362|6509094
5927473|89054733|17694220
5927475|89037913|6894351
5927477|89061886|20727893
5927480|89038174|7370626
5927489|89051492|15639726
5927498|89040006|9726073
5927525|89047716|13888275
5927531|89062490|20954729
5927532|89060531|20303101
5927537|89036994|5661052
5927553|89064190|21794844
5927554|89056633|19057164
5927565|89056875|19128357
5927576|89060726|20356145
5927598|89037763|22154547
5927601|89046676|13308209
5927603|89064033|21741062
5927605|89055136|17985539
5927611|89041703|10807238
5927613|89062847|21176432
5927615|89041753|10826523
5927622|89059061|19832258
5927641|89041113|10385214
5927646|89037487|6668328
5927651|89060315|20187959
5927654|89051228|15502452
5927655|89048205|14355296
5927664|89039058|22982568
5927670|89052902|16189668
5927697|89056422|18846539
5927699|89041374|10566695
5927700|89047573|13794518
5927703|89038224|7436717
5927716|89040128|9811370
5927717|89041707|10807355
5927719|89062190|20834626
5927727|89036615|4323582
5927730|89040285|9947849
5927733|89051239|15503598
5927736|89061628|20651285
5927755|89059958|20089526
5927761|89051479|15630411
5927773|89037723|6800235
5927786|89039490|9217658
5927799|89053735|16532231
5927814|89039593|9291516
5927815|89039835|9497889
5927817|89048227|14564596
5927832|89056928|19144051
5927846|89051252|15508176
5927847|89048357|14688968
5927848|89052465|15907743
5927857|89057441|19322445
5927882|89058919|19795193
5927891|89052000|15756841
5927915|89058690|19732604
5927917|89039731|9493989
5927937|89046374|13154436
5927943|89036836|5286806
5927949|89043117|11748657
5927955|89042890|11647956
5927956|89037720|6799374
5927961|89047625|13813075
5927979|89040859|10236029
5927992|89062339|20876007
5927996|89036787|5151842
5927998|89040012|9728383
5928008|89061924|20735983
5928010|89057105|19203020
5928014|89036479|3765306
5928015|89039525|9238047
5928022|89038433|7676806
5928026|89048714|14858804
5928065|89056086|18636813
5928068|89036855|5360170
5928072|89036965|5608069
5928083|89063597|21543929
5928091|89056438|18853348
5928099|89037413|6572612
5928101|89039885|9524185
5928133|89040427|10035539
5928134|89044486|12211661
5928137|89037082|5864689
5928150|89044919|12437646
5928152|89048575|14775135
5928154|89048911|14916591
5928164|89044414|12209430
5928166|89051223|15500511
5928170|89047941|14101393
5928173|89048000|14144172
5928186|89047725|13889439
5928202|89037411|6569451
5928207|89052872|16069079
5928216|89054912|17779578
5928218|89048593|14804092
5928219|89052604|15960726
5928222|89043177|11772207
5928225|89038341|7519900
5928234|89060925|20408890
5928241|89044405|12209178
5928244|89054978|17797834
5928251|89038593|22806026
5928265|89039217|8883329
5928268|89056841|19118443
5928288|89048787|14871510
5928295|89055737|18560322
5928298|89053834|16560518
5928300|89057700|19388409
5928302|89036945|5573973
5928317|89054404|17607091
5928333|89043073|11718546
5928335|89037829|6881215
5928340|89057310|19291529
5928348|89036601|4253787
5928363|89054771|17705659
5928368|89052250|15861966
5928394|89051308|15561411
5928395|89055934|18599496
5928398|89040636|10123707
5928405|89046995|13439372
5928411|89036589|4209104
5928416|89045384|12592845
5928423|89042015|10977163
5928426|89040769|10186062
5928428|89044506|12212222
5928449|89051708|15688870
5928453|89044613|12315836
5928457|89037479|6652555
5928469|89037603|6753373
5928471|89038509|22781592
5928486|89048493|14715147
5928495|89062048|20769157
5928502|89036732|4971871
5928510|89037611|6760785
5928521|89041815|10828581
5928535|89041129|10394198
5928542|89056676|19075654
5928548|89041049|10354425
5928552|89057360|19304324
5928553|89060500|20290540
5928557|89036571|4131743
5928564|89037080|5860438
5928570|89039654|9450625
5928575|89056585|18990543
5928576|89057056|19185123
5928594|89045365|12581047
5928595|89047381|13633226
5928599|89047339|13602788
5928614|89043161|11762527
5928615|89043602|11988746
5928616|89047860|14046693
5928617|89051704|15687958
5928618|89060394|20230435
5928621|89041915|10907027
5928634|89060549|20311308
5928638|89037613|6760920
5928660|89037163|6091746
5928667|89048793|14872305
5928673|89042646|11520479
5928677|89048173|14326115
5928691|89041018|10325226
5928696|89059123|19844500
5928700|89056406|18838332
5928707|89039419|9176693
5928714|89064658|22022220
5928725|89051461|15623719
5928727|89039849|9498819
5928729|89042808|11595814
5928730|89043305|11841189
5928736|89057944|19520802
5928744|89037078|5858675
5928749|89044545|12215075
5928758|89053275|16299623
5928765|89059742|20014191
5928769|89060189|20157245
5928791|89048240|14588711
5928798|89036670|4571527
5928805|89057353|19303997
5928812|89040593|10103510
5928817|89042696|11537767
5928825|89056829|19115707
5928826|89057890|19485561
5928831|89062818|21168945
5928833|89036947|5577036
5928836|89049585|15485233
5928839|89038913|8391754
5928840|89045099|12513941
5928844|89037865|22581429
5928848|89053474|16429902
5928868|89042316|11159795
5928876|89053863|16566242
5928882|89041546|10654377
5928887|89054357|17195719
5928890|89062817|21163278
5928891|89051914|15741494
5928892|89039014|8569741
5928893|89039129|8708653
5928894|89046989|13438694
5928904|89042805|11595445
5928906|89037842|22523382
5928914|89036958|5590831
5928924|89036798|5179353
5928932|89044031|12099600
5928939|89056730|19087761
5928953|89058045|19548313
5928955|89047557|13788504
5928956|89054676|17679672
5928960|89040059|9766584
5928969|89048813|14880260
5928970|89062512|20980706
5928981|89036841|5299105
5928982|89040152|9832362
5928989|89062387|20888114
5929011|89043482|11942745
5929017|89045519|12663201
5929021|89038401|7636529
5929023|89039711|9488419
5929036|89063332|21406131
5929038|89038870|22922094
5929039|89038794|8226389
5929041|89057364|19304927
5929045|89046768|13350600
5929051|89052769|16022535
5929071|89051249|15506955
5929074|89038317|7516057
5929084|89058161|19575787
5929085|89039997|9717674
5929092|89039044|22971139
5929109|89043347|11904310
5929113|89042785|11589179
5929134|89039106|8689475
5929139|89039153|8757194
5929142|89042824|11601235
5929145|89047326|13597190
5929166|89042180|11089766
5929170|89057216|19259907
5929175|89047269|13541275
5929176|89047460|13668383
5929186|89059592|19986624
5929192|89058018|19547401
5929202|89056327|18806379
5929208|89052827|16058019
5929212|89041890|10877626
5929224|89041967|10931045
5929225|89045660|12741437
5929226|89046771|13352892
5929235|89037309|6403716
5929239|89038803|8237953
5929250|89052093|15798339
5929252|89040328|9974972
5929258|89043810|12053716
5929268|89037038|5744469
5929270|89041930|10913392
5929272|89048307|14614212
5929287|89056358|18828283
5929288|89058572|19707422
5929291|89036708|4872040
5929295|89060780|20367574
5929300|89046934|13417117
5929301|89047836|13950990
5929302|89052390|15886021
5929307|89052764|16021020
5929318|89048301|14612856
5929320|89061705|20665117
5929321|89056750|19090805
5929332|89039173|8802232
5929334|89039816|9497169
5929346|89037367|6519260
5929352|89039879|9518891
5929371|89043663|12008688
5929372|89063509|21496950
5929375|89038414|7651545
5929386|89053623|16488240
5929390|89037008|5683442
5929393|89041608|10742176
5929400|89046243|13135034
5929405|89052568|15939930
5929436|89058313|19611085
5929437|89060709|20349453
5929450|89047480|13673854
5929454|89037280|6318905
5929455|89037317|6423895
5929466|89044230|12171140
5929472|89037473|6646307
5929473|89044563|12216842
5929474|89045984|13009520
5929475|89047532|13781481
5929486|89054921|17780060
5929487|89038138|7340983
5929492|89057592|19358649
5929498|89039445|9185110
5929517|89051361|15578798
5929519|89052071|15790170
5929527|89061231|20487929
5929530|89062921|21202302
5929545|89039088|22996751
5929547|89048549|14746053
5929554|89049498|15453649
5929559|89036989|5641089
5929563|89057158|19236236
5929566|89043822|12055423
5929571|89041876|10842334
5929580|89043504|11945364
5929581|89061620|20649054
5929582|89037331|6450550
5929590|89036917|5534257
5929594|89061678|20659940
5929595|89051504|15652297
5929599|89063278|21379466
5929605|89036688|4669067
5929608|89044909|12437394
5929610|89047049|13448977
5929621|89059556|19977136
5929622|89036465|3702681
5929625|89042481|11245419
5929632|89047428|13652259
5929635|89055637|18515546
5929649|89036528|3928549
5929654|89040134|9814961
5929665|89053796|16544104
5929672|89042478|11239990
5929673|89047407|13647409
5929675|89059731|20011824
5929676|89036417|3488035
5929696|89042887|11647587
5929697|89045381|12589936
5929699|89064034|21742460
5929701|89053197|16279894
5929704|89037042|5753840
5929705|89041304|10515961
5929707|89045972|13008005
5929720|89045067|12500202
5929722|89044297|12192852
5929732|89059248|19876921
5929734|89039826|9497421
5929736|89062266|20858120
5929739|89059995|20095909
5929757|89041955|10920822
5929768|89053417|16384920
5929771|89039870|9517979
5929778|89049483|15450292
5929797|89047069|13459938
5929814|89046226|13129740
5929816|89052467|15917054
5929817|89059152|19849897
5929822|89052074|15790305
5929824|89036661|4538507
5929826|89040250|9914984
5929830|89052085|15796029
5929832|89037189|6135213
5929834|89036857|5361451
5929843|89062961|21233793
5929845|89042099|11040777
5929849|89056344|18827020
5929850|89037293|6362148
5929851|89038294|7498412
5929865|89051663|15684619
5929876|89049395|15426409
5929878|89049570|15480421
5929887|89063376|21422176
5929888|89061853|20716464
5929890|89059601|19988448
5929896|89037432|6593001
5929901|89039448|9185227
5929904|89060151|20131558
5929907|89043136|11752730
5929912|89063665|21580849
5929918|89045060|12500067
5929932|89036644|4429095
5929948|89047813|13947730
5929949|89056582|18988060
5929950|89059053|19829601
5929951|89038555|7840045
5929956|89062757|21137184
5929962|89047924|14094340
5929965|89036523|3903657
5929970|89045834|12921772
5929971|89063401|21428872
5929972|89063944|21716969
5929973|89054407|17608021
5929977|89044062|12112802
5929981|89036737|4981785
5929989|89048233|14566924
5929990|89059091|19841494
5929997|89037938|22625247
5930000|89057240|19270537
5930004|89052229|15835386
5930015|89049239|15365598
5930022|89063056|21271040
5930025|89054513|17626493
5930032|89052889|16187475
5930042|89058702|19735340
5930054|89049173|15333177
5930057|89060328|20192107
5930059|89046843|13382301
5930064|89058475|19665896
5930065|89041327|10528980
5930066|89044174|12152692
5930068|89053779|16540789
5930069|89054831|17718192
5930071|89056999|19170496
5930078|89036746|4997558
5930081|89051495|15643898
5930088|89042701|11546049
5930091|89053441|16389012
5930095|89044942|12438324
5930098|89057155|19236119
5930110|89036642|4423740
5930119|89047494|13703975
5930130|89063450|21453685
5930135|89045522|12668364
5930138|89041292|10513165
5930143|89041675|10766039
5930147|89051486|15632352
5930149|89056620|19056018
5930152|89043208|11780414
5930153|89047871|14046945
5930167|89058971|19812313
5930173|89053706|16522803
5930182|89053639|16494857
5930189|89037982|6921367
5930192|89041537|10647820
5930204|89037244|6264435
5930217|89039538|9242354
5930220|89038011|6935316
5930228|89043377|11918007
5930241|89046837|13379023
5930244|89051389|15587449
5930248|89041534|10646287
5930259|89047554|13787457
5930260|89062762|21148028
5930264|89042122|11049372
5930268|89060563|20318898
5930274|89049458|15442085
5930280|89057274|19287222
5930281|89059611|19994228
5930282|89036416|3444713
5930284|89053723|16530758
5930285|89054442|17617509
5930286|89042977|11692849
