+0000000012024517+0000000000001831                   4201101012013010120131031+000000000000001000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000026239414+0000000000006578                   1201607292018072800000000+000000000000000000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000026223038+0000000000006202                   1201307172016071600000000+000000000000004100000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000012933411+0000000000006309                   1201606162017061500000000+000000000000011000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000015686677+0000000000003221                   1200710012014093000000000+000000000000084700000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   2                   2
+0000000018542066+0000000000003588                   1201310252028102400000000+000000000000167800000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000020028860+0000000000005918                   1201310302014103000000000+000000000000045000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000027296298+0000000000006422                   1200911232016082200000000+000000000000006400000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   2+0000000000000000                   2                   2
+0000000020777733+0000000000006159                   1201206262013062500000000+000000000000049400000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000026241276+0000000000006578                   1201607292018072800000000+000000000000000000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000026242206+0000000000006578                   1201607292018072800000000+000000000000000000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000020572623+0000000000004665                   1201501262016012600000000+000000000000015000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000010576141+0000000000003373                   4201012212011122120151016+000000000000035100000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000005318031+0000000000003887                   1201406112015061100000000+000000000000012700000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000021726163+0000000000004860                   1201503262016032600000000+000000000000015800000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000019726221+0000000000004167                   1201410082017100700000000+000000000000017700000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000014707894+0000000000003819                   1201405162015051600000000+000000000000033200000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000009094674+0000000000001355                   4200908012010073120130702+000000000000055800000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000009196656+0000000000001387                   4201007012011063020150916+000000000000041700000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000012292155+0000000000004124                   1201405012015043000000000+000000000000011100000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000016597400+0000000000006035                   1201306012014060100000000+000000000000000000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000004790372+0000000000004425                   1201412042015120400000000+000000000000014900000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000006661206+0000000000003995                   1201407102015071000000000+000000000000027200000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000019338821+0000000000003874                   1201405262015052600000000+000000000000016700000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000017663296+0000000000005300                   1201507302016073000000000+000000000000024800000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000015690264+0000000000002054                   4201005012015050120130626+000000000000079200000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000015690264+0000000000002177                   6201005012015050120130322+000000000000000000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000009118430+0000000000000983                   4201006212011062020120331+000000000000036300000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000009993654+0000000000004907                   1201504102016041000000000+000000000000016800000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000015690867+0000000000002057                   1196604012100040100000000+000000000000036300000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000024091851+0000000000006346                   1201007012011063000000000+000000000000045000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   2                   2
+0000000018592491+0000000000003609                   1201305012014043000000000+000000000000043900000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000005708695+0000000000005183                   1201506262016062500000000+000000000000012900000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000019138154+0000000000004193                   1201410102015101000000000+000000000000019700000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000022731419+0000000000005824                   4201301012014010120151130+000000000000000000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000015772652+0000000000005050                   1201505142016051400000000+000000000000017700000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000013931237+0000000000002677                   1200806012009053100000000+000000000000080100000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   1
+0000000024174548+0000000000005632                   1201511262016112500000000+000000000000020000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000014280221+0000000000003669                   1201403242015032400000000+000000000000012700000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000013514989+0000000000005732                   1201404012015040100000000+000000000000000000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000009082702+0000000000001312                   4200901012009123120120430+000000000000061000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000021281557+0000000000005006                   4201403012015030120160616+000000000000160000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000021864756+0000000000006340                   1201606302017062900000000+000000000000015000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000019141315+0000000000005047                   1201505122018051100000000+000000000000016700000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000021431178+0000000000006158                   1201209152013091500000000+000000000000050000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000014925593+0000000000004480                   1201209212013092100000000+000000000000024900000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000014925593+0000000000004481                   1201209012013090100000000+000000000000025000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000011814786+0000000000003501                   4200002092015020820150928+000000000000020600000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000011960497+0000000000006060                   1201605062017050500000000+000000000000003600000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000022069853+0000000000004982                   1201504232016042300000000+000000000000022300000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000015773213+0000000000005547                   1198307011984070100000000+000000000000007800000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000019060928+0000000000004942                   1201504232018042200000000+000000000000074200000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000027460878+0000000000006525                   1201505012016050100000000+000000000000000000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000006683830+0000000000001738                   4201005012011043020121231+000000000000096000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000006683830+0000000000002878                   4201005012011043020140220+000000000000096000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000003998568+0000000000000062                   4200510312006103020100930+000000000000038700000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   2                   2
+0000000019854162+0000000000004270                   1201407102015071000000000+000000000000026800000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000027298140+0000000000006429                   1199909222016082100000000+000000000000000000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   2+0000000000000000                   2                   2
+0000000027460410+0000000000006521                   1201508012016080100000000+000000000000065000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000016219438+0000000000005983                   1201312012014120100000000+000000000000000000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000010632725+0000000000004448                   1201412012015120100000000+000000000000035000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000009085807+0000000000001032                   4200904162010041520150915+000000000000064700000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000015928483+0000000000006218                   1201604182017041700000000+000000000000025000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000016227762+0000000000004362                   6201412022019120220141202+000000000000000000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000016227762+0000000000004397                   1201411172015111700000000+000000000000037100000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000020282684+0000000000004197                   1201410102015101000000000+000000000000017700000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000005718375+0000000000002955                   1201308122014081200000000+000000000000012500000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000019324755+0000000000003703                   1201404082015040800000000+000000000000014700000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000012109758+0000000000005061                   1201505182016051800000000+000000000000044800000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000014206966+0000000000006141                   1201605132017051200000000+000000000000018500000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000018179558+0000000000005723                   1201601182017011700000000+000000000000060000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000005628401+0000000000003026                   1201309172014091700000000+000000000000027700000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000011771043+0000000000004069                   1201409082015090800000000+000000000000013900000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000026221934+0000000000006210                   1201210012016093000000000+000000000000000000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000027455659+0000000000006564                   1201509012016090100000000+000000000000029500000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   2                   2
+0000000012902253+0000000000003186                   1201311252014112500000000+000000000000010900000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000026249211+0000000000006582                   1201607292018072800000000+000000000000000000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000014611089+0000000000006432                   1201607262017072500000000+000000000000019000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000027174137+0000000000006452                   1201203012013022800000000+000000000000050000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000020009341+0000000000005541                   1200503022030030100000000+000000000000098400000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000014353238+0000000000001917                   4201301312018013020140331+000000000000040100000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000018614306+0000000000003599                   1201304152028041400000000+000000000000215600000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000013305086+0000000000003084                   5201111012012110100000000+000000000000027000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000016069079+0000000000004615                   1201501222016012200000000+000000000000012000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000014566924+0000000000003512                   1201402132015021300000000+000000000000012800000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000022729287+0000000000005795                   1201210012013100100000000+000000000000000000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000022121196+0000000000005364                   1201108012012073100000000+000000000000002500000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000022860524+0000000000005626                   1201301012014010100000000+000000000000115900000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000022727715+0000000000005797                   1201402012015020100000000+000000000000020000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000022717432+0000000000005830                   4201205012013050120160331+000000000000000000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000026266906+0000000000006580                   1201607292018072800000000+000000000000000000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
+0000000026250278+0000000000006582                   1201607292018072800000000+000000000000000000000000+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                    +0000000000000000                   1+0000000000000000                   1                   2
