+0000000049845822+0000000000040138                  02                  01                                                  +0                   1+0000000004406500+0000000000000000                                                                                                                                                                                                                                                                +0+0000000000005000+1+1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 0000000000000000
+0000000049845822+0000000000040139                  02                  01                                                  +0                   1+0000000004406500+0000000000000000                                                                                                                                                                                                                                                                +0+0000000000005000+1+1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 0000000000000000
+0000000051088061+0000000000038177                  02                  01                                                  +0                   1+0000000003000000+0000000000000000                                                                                                                                                                                                                                                                +0+0000000000010000+1+1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 0000000000000000
+0000000051088061+0000000000038177                  02                  01                                                  +0                   1+0000000003000000+0000000000000000                                                                                                                                                                                                                                                                +0+0000000000010000+1+1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 0000000000000000
+0000000051088061+0000000000038176                  02                  01                                                  +0                   1+0000000003000000+0000000000000000                                                                                                                                                                                                                                                                +0+0000000000010000+1+1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 0000000000000000
+0000000049845822+0000000000040138                  02                  01                                                  +0                   1+0000000004406500+0000000000000000                                                                                                                                                                                                                                                                +0+0000000000005000+1+1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 0000000000000000
+0000000049845822+0000000000040139                  02                  01                                                  +0                   1+0000000004406500+0000000000000000                                                                                                                                                                                                                                                                +0+0000000000005000+1+1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 0000000000000000
+0000000049039336+0000000000045180                  02                  01                                                  +0                   1+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                +0+0000000000000000+1+1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 0000000000000000
+0000000053140442+0000000000042030                  02                  01                                                  +0                   1+0000000005500000+0000000000000000                                                                                                                                                                                                                                                                +0+0000000000005000+1+1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 0000000000000000
+0000000051784503+0000000000041787                  02                  01                                                  +0                   1+0000000001880000+0000000000000000                                                                                                                                                                                                                                                                +0+0000000000005000+1+1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 0000000000000000
+0000000051784503+0000000000041786                  02                  01                                                  +0                   1+0000000001880000+0000000000000000                                                                                                                                                                                                                                                                +0+0000000000005000+1+1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 0000000000000000
+0000000051784503+0000000000041787                  02                  01                                                  +0                   1+0000000001880000+0000000000000000                                                                                                                                                                                                                                                                +0+0000000000005000+1+1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 0000000000000000
+0000000051784503+0000000000041786                  02                  01                                                  +0                   1+0000000001880000+0000000000000000                                                                                                                                                                                                                                                                +0+0000000000005000+1+1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 0000000000000000
+0000000041936772+0000000000046561                  02                  01                                                  +0                   1+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                +0+0000000000000000+1+1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 0000000000000000
+0000000038969055+0000000000050575                  02                  01                                                  +0                   1+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                +0+0000000000000000+1+1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 0000000000000000
+0000000054368980+0000000000061601                  02                  01                                                  +0                   1+0000000004000000+0000000000000000                                                                                                                                                                                                                                                                +0+0000000000005000+1+1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 0000000000000000
+0000000051382910+0000000000040612                  02                  01                                                  +0                   1+0000000003500000+0000000000000000                                                                                                                                                                                                                                                                +0+0000000000005000+1+1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 0000000000000000
+0000000051382910+0000000000040612                  02                  01                                                  +0                   1+0000000003500000+0000000000000000                                                                                                                                                                                                                                                                +0+0000000000005000+1+1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 0000000000000000
+0000000041491563+0000000000050978                  02                  01                                                  +0                   1+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                +0+0000000000000000+1+1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 0000000000000000
+0000000053562573+0000000000042112                  02                  01                                                  +0                   1+0000000000750000+0000000000000000                                                                                                                                                                                                                                                                +0+0000000000005000+1+1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 0000000000000000
+0000000053417774+0000000000038629                  02                  01                                                  +0                   1+0000000000000000+0000000000000000                                                                                                                                                                                                                                                                +0+0000000000000000+1+1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 0000000000000000
