+0000000000000001+0000000392074901                  01             A164804                                                                                         TODAS SAREB2014040800000000
+0000000000000001+0000000392074902                  01             A164804                                                                            AMPARO FERNANDEZ CERVERA2014040800000000
+0000000000000001+0000000392086601                  01             A164804                                                                                         TODAS SAREB2014040800000000
+0000000000000001+0000000392086602                  01             A164804                                                                            AMPARO FERNANDEZ CERVERA2014040800000000
+0000000000000001+0000000399224101                  01             A141797                                                                            RUALCASA GESTION INMOBIL2013110500000000
+0000000000000001+0000000399224102                  01             A164810                                                                                    FIRMA 6306 GARSA2015012900000000
+0000000000000002+0000000399224101                  01             A141797                                                                                        0316-DT 01862013022820131105
+0000000000000002+0000000399224102                  01             A141797                                                                                            RUALCASA2013030520131105
+0000000000000002+0000000399224103                  01             A141797                                                                                          FIRMA 96032013080120131105
+0000000000000001+0000000407552801                  01             A141877                                                                                               ARAER2010032200000000
+0000000000000001+0000000407552802                  01             A164798                                                                               BOLETINES ENERGETICOS2013101000000000
+0000000000000001+0000000407552803                  01             A164798                                                                                          FIRMA 63062014041600000000
+0000000000000002+0000000407552801                  01             A136655                                                                                             CISMISA2009052820091116
+0000000000000003+0000000407552801                  01             A119075                                                                                  GUTIERREZ LABRADOR2009111620100318
+0000000000000004+0000000407552801                  01             A117705                                                                                            MULTIMAP2010032320100412
+0000000000000005+0000000407552801                  01             A108047                                                                                EVENTO BENIDORM 96662010070120100913
+0000000000000006+0000000407552801                  01             A141797                                                                                            MULTIMAP2010111720101213
+0000000000000007+0000000407552801                  01             A108047                                                                                 EVENTO ALFAZ DEL PI2011012720110404
+0000000000000008+0000000407552801                  01             A139778                                                                                CORNER BENIDORM 96662011040820110516
+0000000000000001+0000000409962501                  01             A114236                                                                                      RAFAEL ATENCIA2009102900000000
+0000000000000001+0000000409962502                  01             A136655                                                                                         MAGNUM 96442011123000000000
+0000000000000001+0000000409962503                  01             A164731                                                                                          FIRMA 63172013122300000000
+0000000000000002+0000000409962501                  01             A111842                                                                                             TECNICO2011112420111222
+0000000000000001+0000000414074501                  01             A106133                                                                                       TAURUS MADRID2014100100000000
+0000000000000001+0000000414074502                  01             A155303                                                                                 CENTRAL DE LLAVES 42015030200000000
+0000000000000001+0000000414074503                  01             A155303                                                                            FIRMA GUTIERREZ LABRADOR2015041000000000
+0000000000000001+0000000414396701                  01             A164755                                                                                 FIRMA 5753 GRUPO BC2014040300000000
+0000000000000001+0000000414404201                  01             A164755                                                                               FIRMA 4421 DIRECTOR/A2013121100000000
