62620|Alquiler y Venta|Ordinario|NO APLICA|N|Libre||
62621|Alquiler y Venta|Ordinario|N|N|Libre||
62622|Alquiler y Venta|Ordinario|N|N|Libre||
62689|Alquiler y Venta|Ordinario|N|N|Libre||
62690|Alquiler y Venta|Ordinario|N|N|Libre||
62691|Alquiler y Venta|Ordinario|N|N|Libre||
62834|Alquiler y Venta|Ordinario|N|N|Libre||
62835|Alquiler y Venta|Ordinario|N|N|Libre||
62836|Alquiler y Venta|Ordinario|N|N|Libre||
62864|Alquiler y Venta|Ordinario|N|N|Libre||
62872|Alquiler y Venta|Ordinario|N|S|Alquilado|N|N
62915|Alquiler y Venta|Ordinario|N|N|Libre||
62916|Alquiler y Venta|Ordinario|N|N|Libre||
63010|Alquiler y Venta|Ordinario|NO APLICA|N|Libre||
63020|Alquiler y Venta|Ordinario|NO APLICA|N|Libre||
63061|Alquiler y Venta|Ordinario|N|N|Libre||
63062|Alquiler y Venta|Ordinario|N|N|Libre||
63100|Alquiler y Venta|Ordinario|N|S|Alquilado|N|N
63227|Alquiler y Venta|Ordinario|NO APLICA|N|Libre||
63228|Alquiler y Venta|Ordinario|NO APLICA|N|Libre||
63396|Alquiler y Venta|Ordinario|N|N|Alquilado|N|N
63397|Alquiler y Venta|Ordinario|N|N|Alquilado|N|N
63398|Alquiler y Venta|Ordinario|N|N|Alquilado|N|N
63399|Alquiler y Venta|Ordinario|S|N|Libre||
63404|Alquiler y Venta|Ordinario|NO APLICA|N|Libre||
63950|Alquiler y Venta|Ordinario|N|S|Alquilado|N|N
64486|Alquiler y Venta|Ordinario|N|S|Alquilado|N|N
64531|Alquiler y Venta|Ordinario|NO APLICA|N|Libre||
64595|Alquiler y Venta|Ordinario|N|N|Alquilado|N|N
64601|Alquiler y Venta|Ordinario|NO APLICA|N|Libre||
64602|Alquiler y Venta|Ordinario|NO APLICA|N|Libre||
64755|Alquiler y Venta|Ordinario|N|N|Alquilado|N|N
64756|Alquiler y Venta|Ordinario|N|N|Alquilado|N|N
64757|Alquiler y Venta|Ordinario|N|N|Alquilado|N|N
64766|Alquiler y Venta|Ordinario|NO APLICA|N|Libre||
64767|Alquiler y Venta|Ordinario|NO APLICA|N|Libre||
64935|Alquiler y Venta|Ordinario|N|N|Alquilado|N|N
64936|Alquiler y Venta|Ordinario|N|N|Alquilado|N|N
