USUARIO_REM,ID_OFICINA,ID_ENTIDAD,,
pmorera,2547,3058,,
pmorera,2536,3058,,
pmorera,2641,3105,,
pmorera,2638,3105,,
pmorera,2509,3058,,
pmorera,2596,3058,,
pmorera,2589,3058,,
pmorera,2528,3058,,
pmorera,2516,3058,,
pmorera,2581,3058,,
pmorera,2543,3058,,
pmorera,2517,3058,,
pmorera,2659,3045,,
pmorera,2665,3045,,
pmorera,2576,3058,,
pmorera,2525,3058,,
pmorera,2595,3058,,
ncolom,7396,3058,,
ncolom,7399,3058,,
ncolom,7460,3058,,
pmanez,7467,3095,,
pmanez,7476,3119,,
ncolom,7419,3058,,
ncolom,7347,3058,,
ncolom,7466,3058,,
ncolom,7416,3058,,
pmanez,7470,3112,,
pmanez,7471,3112,,
pmanez,7473,3112,,
ncolom,7343,3058,,
ncolom,7429,3058,,
ncolom,7300,3058,,
ncolom,7302,3058,,
ncolom,7304,3058,,
ncolom,7305,3058,,
ncolom,7307,3058,,
ncolom,7414,3058,,
ncolom,7435,3058,,
ncolom,7463,3058,,
ncolom,7303,3058,,
ncolom,7421,3058,,
ncolom,7422,3058,,
ncolom,7456,3058,,
pmanez,7486,3157,,
ncolom,7350,3058,,
ncolom,7391,3058,,
pmanez,2821,3102,,
pmanez,2822,3102,,
pmanez,2823,3102,,
pmanez,2824,3102,,
pmanez,7489,3160,,
ncolom,7380,3058,,
ncolom,7410,3058,,
ncolom,7342,3058,,
pmanez,7482,3135,,
pmanez,7483,3135,,
ncolom,2802,3058,,
ncolom,7378,3058,,
ncolom,7397,3058,,
ncolom,7349,3058,,
ncolom,7401,3058,,
ncolom,7409,3058,,
ncolom,7346,3058,,
ncolom,7394,3058,,
ncolom,7345,3058,,
ncolom,7413,3058,,
pmanez,7492,3165,,
pmanez,2810,3110,,
pmanez,2811,3110,,
pmanez,2812,3110,,
pmanez,2818,3110,,
ncolom,7354,3058,,
ncolom,7457,3058,,
ncolom,7400,3058,,
ncolom,7348,3058,,
ncolom,7356,3058,,
ncolom,7415,3058,,
ncolom,7464,3058,,
ncolom,7452,3058,,
ncolom,7465,3058,,
ncolom,7437,3058,,
ncolom,7453,3058,,
ncolom,7318,3058,,
ncolom,7427,3058,,
ncolom,7351,3058,,
ncolom,7384,3058,,
ncolom,7389,3058,,
ncolom,7418,3058,,
ncolom,7344,3058,,
ncolom,7368,3058,,
ncolom,7357,3058,,
ncolom,7365,3058,,
ncolom,7352,3058,,
ncolom,7392,3058,,
ncolom,7341,3058,,
ncolom,7423,3058,,
azanon,7060,3058,,
azanon,7068,3058,,
vgardel,2207,3058,,
pmorera,2130,3058,,
dmartin,7035,3058,,
dmartin,2245,3058,,
pmorera,2123,3058,,
azanon,7220,3058,,
vgardel,2117,3058,,
vgardel,2115,3058,,
vgardel,2226,3058,,
azanon,2258,3058,,
azanon,2142,3058,,
azanon,2139,3058,,
vgardel,2165,3058,,
dmartin,2290,3058,,
dmartin,2341,3058,,
vgardel,2035,3118,,
vgardel,2038,3118,,
dmartin,2166,3058,,
vgardel,2277,3058,,
vgardel,2086,3058,,
azanon,2375,3179,,
azanon,2158,3058,,
vgardel,2279,3058,,
vgardel,2288,3058,,
vgardel,7105,3058,,
pmorera,2232,3058,,
pmorera,2218,3058,,
vgardel,2140,3058,,
pmorera,7004,3058,,
azanon,7005,3058,,
pmorera,7098,3058,,
vgardel,7107,3058,,
azanon,2264,3058,,
dmartin,2239,3058,,
vgardel,2191,3058,,
vgardel,2340,3058,,
vgardel,2184,3058,,
vgardel,7124,3058,,
pmorera,2137,3058,,
vgardel,7109,3058,,
vgardel,2063,3118,,
azanon,7044,3058,,
azanon,2323,3058,,
pmorera,2129,3058,,
pmorera,2261,3058,,
pmorera,2273,3058,,
azanon,2156,3058,,
azanon,2114,3058,,
azanon,2109,3058,,
azanon,7012,3058,,
azanon,7010,3058,,
azanon,7011,3058,,
azanon,2204,3058,,
pmorera,2138,3058,,
pmorera,2126,3058,,
ncolom,2195,3058,,
pmorera,2231,3058,,
azanon,7102,3058,,
azanon,7200,3058,,
pmorera,2286,3058,,
vgardel,2268,3058,,
vgardel,2033,3118,,
vgardel,2027,3118,,
vgardel,2040,3118,,
azanon,2364,3121,,
azanon,7013,3058,,
pmorera,7008,3058,,
vgardel,2136,3058,,
vgardel,2171,3058,,
vgardel,7126,3058,,
ncolom,2009,3058,,
ncolom,2214,3058,,
azanon,2149,3058,,
azanon,2233,3058,,
azanon,7045,3058,,
ncolom,2318,3058,,
ncolom,2145,3058,,
azanon,2154,3058,,
vgardel,7088,3058,,
vgardel,2008,3058,,
vgardel,2122,3058,,
vgardel,2257,3058,,
pmorera,2181,3058,,
azanon,7078,3058,,
azanon,7064,3058,,
vgardel,7117,3058,,
azanon,2372,3152,,
azanon,2087,3058,,
pmorera,7116,3058,,
azanon,7049,3058,,
pmorera,2267,3058,,
vgardel,2133,3058,,
azanon,7074,3058,,
pmorera,2143,3058,,
azanon,7097,3058,,
azanon,7028,3058,,
vgardel,7123,3058,,
vgardel,7100,3058,,
pmorera,7054,3058,,
pmorera,2278,3058,,
pmorera,2124,3058,,
azanon,2365,3121,,
dmartin,2013,3058,,
vgardel,2132,3058,,
azanon,2176,3058,,
azanon,2131,3058,,
dmartin,7119,3058,,
azanon,2135,3058,,
dmartin,2015,3058,,
dmartin,2248,3058,,
pmorera,2287,3058,,
azanon,2186,3058,,
azanon,7025,3058,,
pmorera,2118,3058,,
pmorera,7065,3058,,
vgardel,2041,3118,,
vgardel,2061,3118,,
