|---------1------|---------2---------|---3---|---4---|-------5-------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------6----------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------7----------
+0000000000202046                    2015102900000000+000000000000000                                                                                                                                                                                                                                                     Otros                                                                                                                                                                                                                                                      1721
+0000000000202047                    2015122100000000+000000000000000                                                                                                                                                                                                                                                     Otros                                                                                                                                                                                                                                                      1152
+0000000000201957                    2015102900000000+000000000000000                                                                                                                                                                                                                                                     Otros                                                                                                                                                                                                                                                      1721
+0000000000202051                    2015122100000000+000000000000000                                                                                                                                                                                                                                                     Otros                                                                                                                                                                                                                                                      1152
+0000000000201958                    2015102300000000+000000000000000                                                                                                                                                                                                                                                     Otros                                                                                                                                                                                                                                                      2073
+0000000000128423                    2015102900000000+000000000000000                                                                                                                                                                                                                                                     Otros                                                                                                                                                                                                                                                      1721
+0000000000130849                    2015060800000000+000000000000000                                                                                                                                                                                                                                                  Montalvo                                                                                                                                                                                                                                                      2535
+0000000000128257                    2015063000000000+000000000000000                                                                                                                                                                                                                                                     Otros                                                                                                                                                                                                                                                      1111
+0000000000107153                    2015063000000000+000000000000000                                                                                                                                                                                                                                                     Otros                                                                                                                                                                                                                                                      1198
+0000000000122690                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
+0000000000203363                    3006201500      +0000000000000000                                                                                                                                                                                                                                                    Otros                                                                                                                                                                                                                                                      1198
+0000000000203402                    3006201500      +0000000000000000                                                                                                                                                                                                                                                    Otros                                                                                                                                                                                                                                                      1198
+0000000000203427                    3006201500      +0000000000000000                                                                                                                                                                                                                                                    Otros                                                                                                                                                                                                                                                      1198
+0000000000203432                    3006201500      +0000000000000000                                                                                                                                                                                                                                                    Otros                                                                                                                                                                                                                                                      1198
+0000000000203585                    3006201500      +0000000000000000                                                                                                                                                                                                                                                    Otros                                                                                                                                                                                                                                                      1198
+0000000000203598                    3006201500      +0000000000000000                                                                                                                                                                                                                                                    Otros                                                                                                                                                                                                                                                      1198
+0000000000203617                    2403201500      +0000000000000000                                                                                                                                                                                                                                                Pinos XXI                                                                                                                                                                                                                                                          
+0000000000203619                    2403201500      +0000000000000000                                                                                                                                                                                                                                                Pinos XXI                                                                                                                                                                                                                                                          
+0000000000203626                    3006201500      +0000000000000000                                                                                                                                                                                                                                                    Otros                                                                                                                                                                                                                                                      1111
+0000000000203640                    3006201500      +0000000000000000                                                                                                                                                                                                                                                    Otros                                                                                                                                                                                                                                                      1198
+0000000000203802                    3006201500      +0000000000000000                                                                                                                                                                                                                                                    Otros                                                                                                                                                                                                                                                      1198
+0000000000203804                    3006201500      +0000000000000000                                                                                                                                                                                                                                                    Otros                                                                                                                                                                                                                                                      1198
