
    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
     10529          2       4602         11                                     
     14639          2       7006         11                                     
     14640          2       7013          8                                     
     14659          2       7864          8                                     
     14661          2       7864          8                                     
     14667          2       7915         11                                     
     14684          2       8605         11                                     
     10533          2       5603          7                                     
     10535          2       5805         11                                     
     10726          2       1203         11                                     
     10733          2       1248         11                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     10735          2       1295         11                                     
     10746          2       2102         11                                     
     10757          2       2804         11                                     
     10760          2       3401         11                                     
     15272          2       9224         24                                     
     10765          2       5102         11                                     
     10772          2       5209         11                                     
     10779          2       5307         11                                     
     10781          2       5503         11                                     
     10783          2       5705         11                                     
     10788          2       6110         11                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     10789          2       6110         11                                     
     10790          2       6110         11                                     
     10875          2        254         11                                     
     10889          2       1423         11                                     
      9844          2       2211         11                                     
     10906          2       5117         11                                     
     10909          2       5220         11                                     
     10914          2       6110         11                                     
     10915          2       6114         11                                     
     10916          2       6114         11                                     
     11548          2        804         11                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     11553          2       1293         11                                     
     16382          2       5166         11                                     
     16384          2       5168         11                                     
     16408          2       7703         11                                     
     16427          2       9006         11                                     
     16432          2       9254         11                                     
     16434          2       9302         11                                     
     11569          2       2823         11                                     
     11570          2       2823         11                                     
     11571          2       3102         11                                     
     11574          2       5118         11                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     11581          2       6302         11                                     
     14997          2        489         11                                     
     15007          2       1360          7                                     
     15016          2       2103         11                                     
     15018          2       2901         11                                     
     15028          2       6202         11                                     
     15036          2       6757         11                                     
      8921          2       1410          7                                     
      8929          2       1423          7                                     
      8932          2       1424          7                                     
      8939          2       1704          7                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
      8942          2       2102          7                                     
      8943          2       2103          7                                     
     11926          2        199         11                                     
     11932          2       1410         11                                     
