Cartera|Subcartera|Zona (provincia)|Tipo de trabajo|Subtipo de trabajo|Codigo proveedor|Proveedor por defecto (0/1)
03||Cádiz|Obtención documentación|Cédula de Habitabilidad||10009469
03||Córdoba|Obtención documentación|Cédula de Habitabilidad||10009469
03||Granada|Obtención documentación|Cédula de Habitabilidad||10009469
03||Huelva|Obtención documentación|Cédula de Habitabilidad||10009469
03||Jaén|Obtención documentación|Cédula de Habitabilidad||10009469
03||Málaga|Obtención documentación|Cédula de Habitabilidad||10009469
03||Sevilla|Obtención documentación|Cédula de Habitabilidad||10009469
03||Almería|Obtención documentación|Cédula de Habitabilidad||10009469
03||Huesca|Obtención documentación|Cédula de Habitabilidad||10009469
03||Teruel|Obtención documentación|Cédula de Habitabilidad||10009469
03||Zaragoza|Obtención documentación|Cédula de Habitabilidad||10009469
03||Asturias|Obtención documentación|Cédula de Habitabilidad||10009469
03||Baleares|Obtención documentación|Cédula de Habitabilidad||10009469
03||Las Palmas|Obtención documentación|Cédula de Habitabilidad||10009469
03||Santa C. Tenerife|Obtención documentación|Cédula de Habitabilidad||10009469
03||Cantabria|Obtención documentación|Cédula de Habitabilidad||10009469
03||Avila|Obtención documentación|Cédula de Habitabilidad||10009469
03||Burgos|Obtención documentación|Cédula de Habitabilidad||10009469
03||León|Obtención documentación|Cédula de Habitabilidad||10009469
03||Palencia|Obtención documentación|Cédula de Habitabilidad||10009469
03||Salamanca|Obtención documentación|Cédula de Habitabilidad||10009469
03||Segovia|Obtención documentación|Cédula de Habitabilidad||10009469
03||Soria|Obtención documentación|Cédula de Habitabilidad||10009469
03||Valladolid|Obtención documentación|Cédula de Habitabilidad||10009469
03||Zamora|Obtención documentación|Cédula de Habitabilidad||10009469
03||Albacete|Obtención documentación|Cédula de Habitabilidad||10009469
03||CiudadReal|Obtención documentación|Cédula de Habitabilidad||10009469
03||Cuenca|Obtención documentación|Cédula de Habitabilidad||10009469
03||Guadalajara|Obtención documentación|Cédula de Habitabilidad||10009469
03||Toledo|Obtención documentación|Cédula de Habitabilidad||10009469
03||Barcelona|Obtención documentación|Cédula de Habitabilidad||10009469
03||Girona|Obtención documentación|Cédula de Habitabilidad||10009469
03||Lleida|Obtención documentación|Cédula de Habitabilidad||10009469
03||Tarragona|Obtención documentación|Cédula de Habitabilidad||10009469
03||Alicante|Obtención documentación|Cédula de Habitabilidad||10009469
03||Castellón|Obtención documentación|Cédula de Habitabilidad||10009469
03||Valencia|Obtención documentación|Cédula de Habitabilidad||10009469
03||Badajoz|Obtención documentación|Cédula de Habitabilidad||10009469
03||Cáceres|Obtención documentación|Cédula de Habitabilidad||10009469
03||A Coruña|Obtención documentación|Cédula de Habitabilidad||10009469
03||Lugo|Obtención documentación|Cédula de Habitabilidad||10009469
03||Ourense|Obtención documentación|Cédula de Habitabilidad||10009469
03||Pontevedra|Obtención documentación|Cédula de Habitabilidad||10009469
03||Madrid|Obtención documentación|Cédula de Habitabilidad||10009469
03||Murcia|Obtención documentación|Cédula de Habitabilidad||10009469
03||Navarra|Obtención documentación|Cédula de Habitabilidad||10009469
03||Álava|Obtención documentación|Cédula de Habitabilidad||10009469
03||Vizcaya|Obtención documentación|Cédula de Habitabilidad||10009469
03||Guipúzcoa|Obtención documentación|Cédula de Habitabilidad||10009469
