Num_Gasto|Partida_Presupuestaria|Cuenta_contable
11252871|G011339|6220000000
11252872|G011339|6220000000
11252873|G011339|6220000000
11252874|G011339|6220000000
11252875|G011339|6220000000
11252876|G011339|6220000000
11252877|G011339|6220000000
11252878|G011339|6220000000
11252879|G011339|6220000000
11252880|G011339|6220000000
11252881|G011339|6220000000
11252882|G011339|6220000000
11252883|G011339|6220000000
11252884|G011339|6220000000
11252885|G011339|6220000000
11252886|G011339|6220000000
11252887|G011339|6220000000
11252888|G011339|6220000000
11252889|G011339|6220000000
11252890|G011339|6220000000
11252891|G011339|6220000000
11252892|G011339|6220000000
11252893|G011339|6220000000
11252894|G011339|6220000000
11252895|G011339|6220000000
11252896|G011339|6220000010
11252897|G011339|6220000010
11252898|G011339|6220000010
11252899|G011339|6220000010
11252900|G011339|6220000010
11252901|G011339|6220000010
11252914|G011339|6220000000
11252915|G011339|6220000000
11252916|G011339|6220000000
11252917|G011339|6220000000
11252918|G011339|6220000000
11252919|G011339|6220000000
11252920|G011339|6220000000
11252921|G011339|6220000000
11252922|G011339|6220000000
11252923|G011339|6220000000
11252924|G011339|6220000000
11252925|G011339|6220000000
11252926|G011339|6220000000
11252929|G011339|6220000000
11252930|G011339|6220000000
11252931|G011339|6220000000
11252932|G011339|6220000000
11252933|G011339|6220000000
11252934|G011339|6220000000
11252935|G011339|6220000000
11252936|G011339|6220000000
11252937|G011339|6220000000
11252938|G011339|6220000000
11252939|G011339|6220000000
11252940|G011339|6220000000
11252941|G011339|6220000000
11252942|G011339|6220000000
11252943|G011339|6220000000
11252944|G011339|6220000000
11252945|G011339|6220000000
11252946|G011339|6220000000
11252947|G011339|6220000000
11252948|G011339|6220000000
11252949|G011339|6220000000
11252950|G011339|6220000000
11252951|G011339|6220000000
11252952|G011339|6220000000
11252953|G011339|6220000000
11252954|G011339|6220000000
11252955|G011339|6220000000
11252956|G011339|6220000000
11252957|G011339|6220000000
11252958|G011339|6220000000
11252959|G011339|6220000000
11252960|G011339|6220000000
11252961|G011339|6220000000
11252962|G011339|6220000000
11252963|G011339|6220000000
11252964|G011339|6220000000
11252965|G011339|6220000000
11252966|G011339|6220000000
11252967|G011339|6220000000
11252968|G011339|6220000000
11252969|G011339|6220000000
11252970|G011339|6220000000
11252971|G011339|6220000000
11252972|G011339|6220000000
11252973|G011339|6220000000
11252974|G011339|6220000000
11252975|G011339|6220000000
11252976|G011339|6220000000
11252977|G011339|6220000000
11252978|G011339|6220000000
11252979|G011339|6220000000
11252980|G011339|6220000000
11252981|G011339|6220000000
11252982|G011339|6220000000
11252983|G011339|6220000000
11252984|G011339|6220000000
11252985|G011339|6220000000
11252986|G011339|6220000000
11252987|G011339|6220000000
11252988|G011339|6220000000
11252989|G011339|6220000000
11252990|G011339|6220000000
11252991|G011339|6220000000
11252992|G011339|6220000010
11252993|G011339|6220000010
11252994|G011339|6220000010
11253009|G011339|6220000000
11253010|G011339|6220000000
11253016|G011339|6220000000
11253017|G011339|6220000010
11253019|G011339|6220000010
11253020|G011339|6220000000
11253021|G011339|6220000000
11254375|G011339|6220000000
11254376|G011339|6220000000
11254377|G011339|6220000000
11254378|G011339|6220000000
11254379|G011339|6220000000
11254380|G011339|6220000000
11254381|G011339|6220000000
11254382|G011339|6220000000
11254383|G011339|6220000000
11254384|G011339|6220000000
11254385|G011339|6220000000
11254386|G011339|6220000000
11254401|G011339|6220000000
11254402|G011339|6220000000
11254403|G011339|6220000000
11254404|G011339|6220000000
11254405|G011339|6220000000
11254406|G011339|6220000000
11254407|G011339|6220000000
11254408|G011339|6220000000
11254409|G011339|6220000000
11254410|G011339|6220000000
11254411|G011339|6220000000
11254412|G011339|6220000000
11254426|G011339|6220000000
11254427|G011339|6220000000
11254430|G011339|6220000000
11254431|G011339|6220000000
11254432|G011339|6220000000
11254433|G011339|6220000000
11254434|G011339|6220000000
11254435|G011339|6220000000
11254437|G011339|6220000000
11254438|G011339|6220000000
11254439|G011339|6220000000
11254440|G011339|6220000000
11254442|G011339|6220000000
11254443|G011339|6220000000
11257239|G011339|6220000000
11257240|G011339|6220000010
11257243|G011339|6220000010
11257244|G011339|6220000000
11257274|G011339|6220000010
11258392|G011339|6220000000
11258393|G011339|6220000000
11259246|G011339|6220000000
11259247|G011339|6220000000
11259248|G011339|6220000000
11259250|G011339|6220000000
11259251|G011339|6220000000
11259252|G011339|6220000000
11259253|G011339|6220000000
11259254|G011339|6220000000
11259255|G011339|6220000000
11259256|G011339|6220000000
11259258|G011339|6220000000
11259259|G011339|6220000000
11259260|G011339|6220000000
11259261|G011339|6220000000
11259262|G011339|6220000000
11259263|G011339|6220000000
11259264|G011339|6220000000
11259266|G011339|6220000000
11259282|G011339|6220000000
11259283|G011339|6220000000
11259285|G011339|6220000000
11259286|G011339|6220000000
11259287|G011339|6220000000
11259292|G011339|6220000000
11259293|G011339|6220000000
11259294|G011339|6220000000
11259295|G011339|6220000000
11259296|G011339|6220000000
11259297|G011339|6220000000
11259298|G011339|6220000000
11259299|G011339|6220000000
11259300|G011339|6220000000
11259301|G011339|6220000000
11259302|G011339|6220000000
11259303|G011339|6220000000
11259304|G011339|6220000000
11259305|G011339|6220000000
11259308|G011339|6220000000
11259309|G011339|6220000000
11259311|G011339|6220000000
11259315|G011339|6220000000
11259316|G011339|6220000000
11259317|G011339|6220000000
11259318|G011339|6220000000
11259319|G011339|6220000000
11259320|G011339|6220000000
11259321|G011339|6220000000
11259322|G011339|6220000000
11259323|G011339|6220000000
11259324|G011339|6220000000
11259325|G011339|6220000000
11259326|G011339|6220000000
11259327|G011339|6220000000
11259328|G011339|6220000000
11259329|G011339|6220000000
11259330|G011339|6220000000
11259331|G011339|6220000000
11259332|G011339|6220000000
11259336|G011339|6220000000
11259337|G011339|6220000000
11259338|G011339|6220000000
11259339|G011339|6220000000
11259340|G011339|6220000000
11259341|G011339|6220000000
11259342|G011339|6220000000
11259343|G011339|6220000000
11259344|G011339|6220000000
11259345|G011339|6220000000
11259346|G011339|6220000000
11259347|G011339|6220000000
11259348|G011339|6220000000
11259349|G011339|6220000000
11259350|G011339|6220000000
11259351|G011339|6220000000
11259352|G011339|6220000000
11259353|G011339|6220000000
11259354|G011339|6220000000
11259396|G011339|6220000000
11259409|G011339|6220000000
11259410|G011339|6220000000
11259411|G011339|6220000000
11259412|G011339|6220000000
11259413|G011339|6220000000
11259451|G011339|6220000000
11259452|G011339|6220000000
11259453|G011339|6220000000
11259454|G011339|6220000000
11259455|G011339|6220000000
11259456|G011339|6220000000
11259457|G011339|6220000000
11259480|G011339|6220000000
11259481|G011339|6220000000
11259482|G011339|6220000000
11259483|G011339|6220000000
11259484|G011339|6220000000
11259485|G011339|6220000000
11259486|G011339|6220000000
11259488|G011339|6220000000
11259489|G011339|6220000000
11259490|G011339|6220000000
11259491|G011339|6220000000
11259492|G011339|6220000000
11259493|G011339|6220000000
11259494|G011339|6220000000
11259495|G011339|6220000000
11259496|G011339|6220000000
11259497|G011339|6220000000
11259498|G011339|6220000000
11259499|G011339|6220000000
11259500|G011339|6220000000
11259501|G011339|6220000000
11259502|G011339|6220000000
11259503|G011339|6220000000
11259504|G011339|6220000000
11259505|G011339|6220000000
11259506|G011339|6220000000
11259507|G011339|6220000000
11259508|G011339|6220000000
11259509|G011339|6220000000
11259510|G011339|6220000000
11259511|G011339|6220000000
11259521|G011339|6220000000
11259522|G011339|6220000000
11259523|G011339|6220000000
11259524|G011339|6220000000
11259525|G011339|6220000000
11259526|G011339|6220000000
11259527|G011339|6220000000
11259528|G011339|6220000000
11259534|G011339|6220000000
11259535|G011339|6220000000
11259536|G011339|6220000000
11259537|G011339|6220000000
11259538|G011339|6220000000
11259541|G011339|6220000000
11259542|G011339|6220000000
11259543|G011339|6220000000
11259544|G011339|6220000000
11259545|G011339|6220000000
11259546|G011339|6220000000
11259547|G011339|6220000000
11259548|G011339|6220000000
11259549|G011339|6220000000
11259550|G011339|6220000000
11259551|G011339|6220000000
11259552|G011339|6220000000
11259553|G011339|6220000000
11259554|G011339|6220000000
11259555|G011339|6220000000
11259556|G011339|6220000000
11259557|G011339|6220000000
11259558|G011339|6220000000
11259559|G011339|6220000000
11259560|G011339|6220000000
11259561|G011339|6220000000
11259562|G011339|6220000000
11259563|G011339|6220000000
11259564|G011339|6220000000
11259565|G011339|6220000000
11259566|G011339|6220000000
11259567|G011339|6220000000
11259568|G011339|6220000000
11259571|G011339|6220000000
11259572|G011339|6220000000
11259584|G011339|6220000000
11259585|G011339|6220000000
11259586|G011339|6220000000
11259602|G011339|6220000000
11259603|G011339|6220000000
11259604|G011339|6220000000
11259605|G011339|6220000000
11259606|G011339|6220000000
11259607|G011339|6220000000
11259608|G011339|6220000000
11259609|G011339|6220000000
11259610|G011339|6220000000
11259613|G011339|6220000000
11259614|G011339|6220000000
11259615|G011339|6220000000
11259649|G011339|6220000000
11259650|G011339|6220000000
11259651|G011339|6220000000
11259652|G011339|6220000000
11259653|G011339|6220000000
11259654|G011339|6220000000
11259655|G011339|6220000000
11259656|G011339|6220000000
11259657|G011339|6220000000
11259658|G011339|6220000000
11259659|G011339|6220000000
11259660|G011339|6220000000
11259661|G011339|6220000000
11259662|G011339|6220000000
11259665|G011339|6220000000
11259666|G011339|6220000000
11259667|G011339|6220000000
11259668|G011339|6220000000
11259669|G011339|6220000000
11259670|G011339|6220000000
11259671|G011339|6220000000
11259672|G011339|6220000000
11259673|G011339|6220000000
11259674|G011339|6220000000
11259675|G011339|6220000000
11259676|G011339|6220000000
11259677|G011339|6220000000
11259679|G011339|6220000000
11259680|G011339|6220000000
11259681|G011339|6220000000
11259682|G011339|6220000000
11259683|G011339|6220000000
11259684|G011339|6220000000
11259685|G011339|6220000000
11259700|G011339|6220000000
11259701|G011339|6220000000
11259702|G011339|6220000000
11259703|G011339|6220000000
11259704|G011339|6220000000
11259705|G011339|6220000000
11259706|G011339|6220000000
11259707|G011339|6220000000
11259708|G011339|6220000000
11259709|G011339|6220000000
11259710|G011339|6220000000
11259711|G011339|6220000000
11259712|G011339|6220000000
11259713|G011339|6220000000
11259714|G011339|6220000000
11259715|G011339|6220000000
11259716|G011339|6220000000
11259717|G011339|6220000000
11259719|G011339|6220000000
11259729|G011339|6220000000
11259735|G011339|6220000000
11259736|G011339|6220000000
11259737|G011339|6220000000
11259738|G011339|6220000000
11259739|G011339|6220000000
11259740|G011339|6220000000
11259741|G011339|6220000000
11259742|G011339|6220000000
11259743|G011339|6220000000
11259744|G011339|6220000000
11259745|G011339|6220000000
11259746|G011339|6220000000
11259747|G011339|6220000000
11259748|G011339|6220000000
11259749|G011339|6220000000
11259750|G011339|6220000000
11259751|G011339|6220000000
11259752|G011339|6220000000
11259753|G011339|6220000000
11259754|G011339|6220000000
11259755|G011339|6220000000
11259756|G011339|6220000000
11259757|G011339|6220000000
11259758|G011339|6220000000
11259759|G011339|6220000000
11259760|G011339|6220000000
11259761|G011339|6220000000
11259791|G011339|6220000000
11259793|G011339|6220000000
11259799|G011339|6220000000
11259801|G011339|6220000000
11259802|G011339|6220000000
11259803|G011339|6220000000
11259805|G011339|6220000000
11259806|G011339|6220000000
11259807|G011339|6220000000
11259808|G011339|6220000000
11259809|G011339|6220000000
11259810|G011339|6220000000
11259811|G011339|6220000000
11259813|G011339|6220000000
11259814|G011339|6220000000
11259815|G011339|6220000000
11259816|G011339|6220000000
11259817|G011339|6220000000
11259818|G011339|6220000000
11259819|G011339|6220000000
11259820|G011339|6220000000
11259821|G011339|6220000000
11259822|G011339|6220000000
11259823|G011339|6220000000
11259824|G011339|6220000000
11259825|G011339|6220000000
11259826|G011339|6220000000
11259827|G011339|6220000000
11259828|G011339|6220000000
11259829|G011339|6220000000
11259846|G011339|6220000000
11259847|G011339|6220000000
11259848|G011339|6220000000
11259849|G011339|6220000000
11259850|G011339|6220000000
11259851|G011339|6220000000
11259852|G011339|6220000000
11259854|G011339|6220000000
11259855|G011339|6220000000
11259856|G011339|6220000000
11259857|G011339|6220000000
11259858|G011339|6220000000
11259859|G011339|6220000000
11259860|G011339|6220000000
11259862|G011339|6220000000
11259863|G011339|6220000000
11259864|G011339|6220000000
11259865|G011339|6220000000
11259866|G011339|6220000000
11259867|G011339|6220000000
11259872|G011339|6220000000
11259873|G011339|6220000000
11259874|G011339|6220000000
11259875|G011339|6220000000
11259876|G011339|6220000010
11259903|G011339|6220000000
11259923|G011339|6220000000
11259924|G011339|6220000000
11259925|G011339|6220000000
11259926|G011339|6220000000
11259929|G011339|6220000000
11259930|G011339|6220000000
11259931|G011339|6220000000
11259932|G011339|6220000000
11259933|G011339|6220000000
11259934|G011339|6220000000
11259935|G011339|6220000000
11259936|G011339|6220000000
11259937|G011339|6220000000
11259939|G011339|6220000000
11259940|G011339|6220000000
11259941|G011339|6220000000
11259942|G011339|6220000000
11259943|G011339|6220000000
11259944|G011339|6220000000
11259960|G011339|6220000010
11259961|G011339|6220000010
11259962|G011339|6220000010
11259963|G011339|6220000010
11259964|G011339|6220000010
11259965|G011339|6220000010
11259966|G011339|6220000010
11259974|G011339|6220000000
11259975|G011339|6220000000
11259976|G011339|6220000000
11259977|G011339|6220000000
11259978|G011339|6220000000
11259979|G011339|6220000000
11259980|G011339|6220000000
11259981|G011339|6220000000
11259982|G011339|6220000000
11259984|G011339|6220000000
11259985|G011339|6220000000
11259986|G011339|6220000000
11259987|G011339|6220000000
11259988|G011339|6220000000
11259989|G011339|6220000000
11259990|G011339|6220000000
11259991|G011339|6220000000
11259992|G011339|6220000000
11259993|G011339|6220000000
11259994|G011339|6220000000
11259995|G011339|6220000000
11259996|G011339|6220000000
11259997|G011339|6220000000
11260000|G011339|6220000000
11260001|G011339|6220000000
11260002|G011339|6220000000
11260003|G011339|6220000000
11260004|G011339|6220000000
11260006|G011339|6220000000
11260008|G011339|6220000000
11260009|G011339|6220000000
11260010|G011339|6220000000
11260011|G011339|6220000000
11260012|G011339|6220000000
11260013|G011339|6220000000
11260014|G011339|6220000000
11260015|G011339|6220000000
11260016|G011339|6220000000
11260017|G011339|6220000000
11260018|G011339|6220000000
11260019|G011339|6220000000
11260020|G011339|6220000000
11260021|G011339|6220000000
11260023|G011339|6220000000
11260024|G011339|6220000000
11260025|G011339|6220000000
11260026|G011339|6220000000
11260027|G011339|6220000000
11260028|G011339|6220000000
11260029|G011339|6220000000
11260030|G011339|6220000000
11260031|G011339|6220000000
11260034|G011339|6220000000
11260035|G011339|6220000000
11260037|G011339|6220000000
11260038|G011339|6220000000
11260039|G011339|6220000000
11260040|G011339|6220000000
11260041|G011339|6220000000
11260042|G011339|6220000000
11260043|G011339|6220000000
11260044|G011339|6220000000
11260045|G011339|6220000000
11260046|G011339|6220000000
11260047|G011339|6220000000
11260048|G011339|6220000000
11260049|G011339|6220000000
11260050|G011339|6220000000
11260051|G011339|6220000000
11260052|G011339|6220000000
11260053|G011339|6220000000
11260054|G011339|6220000000
11260055|G011339|6220000000
11260056|G011339|6220000000
11260057|G011339|6220000000
11260058|G011339|6220000000
11260059|G011339|6220000000
11260060|G011339|6220000000
11260061|G011339|6220000000
11260062|G011339|6220000000
11260063|G011339|6220000000
11260064|G011339|6220000000
11260065|G011339|6220000000
11260066|G011339|6220000000
11260067|G011339|6220000000
11260068|G011339|6220000000
11260069|G011339|6220000000
11260070|G011339|6220000000
11260071|G011339|6220000000
11260072|G011339|6220000000
11260073|G011339|6220000000
11260074|G011339|6220000000
11260075|G011339|6220000000
11260076|G011339|6220000000
11260077|G011339|6220000000
11260078|G011339|6220000000
11260079|G011339|6220000000
11260080|G011339|6220000000
11260081|G011339|6220000000
11260082|G011339|6220000000
11260083|G011339|6220000000
